"CP1","CM1","Año","Municipio1","Tipo_Cambio","CP2","CM2","Municipio2","Observaciones"
"01","001","1982","Alegría-Dulantzi","nombre nuevo de","01","001","Alegría",""
"01","002","1976","Amurrio","se le agrega","01","007","Arrastaría",""
"01","002","1976","Amurrio","se le agrega","01","035","Lezama",""
"01","003","1984","Aramaio","nombre nuevo de","01","003","Aramayona",""
"01","004","1989","Artziniega","nombre nuevo de","01","004","Arceniega",""
"01","005","1976","Arlucea-Marquínez","es agregado a","01","016","Bernedo",""
"01","007","1976","Arrastaría","es agregado a","01","002","Amurrio",""
"01","010","1997","Ayala/Aiara","nombre nuevo de","01","010","Ayala",""
"01","011","1997","Baños de Ebro/Mañueta","nombre nuevo de","01","011","Baños de Ebro",""
"01","012","1977","Barriobusto","es agregado a","01","043","Oyón",""
"01","015","1977","Bergüenda","fusionado en","01","902","Lantarón",""
"01","016","1976","Bernedo","se le agrega","01","005","Arlucea-Marquínez",""
"01","017","1996","Campezo/Kanpezu","nombre nuevo de","01","017","Campezo",""
"01","018","1995","Zigoitia","nombre nuevo de","01","018","Cigoitia",""
"01","019","1997","Kripan","nombre nuevo de","01","019","Cripán",""
"01","020","1997","Kuartango","nombre nuevo de","01","020","Cuartango",""
"01","021","1998","Elburgo/Burgelu","nombre nuevo de","01","021","Elburgo",""
"01","023","1997","Elvillar/Bilar","nombre nuevo de","01","023","Elvillar",""
"01","024","1975","Foronda","es agregado a","01","059","Vitoria",""
"01","025","1975","Huetos (Los)","es agregado a","01","059","Vitoria",""
"01","026","1976","Iruña","fusionado en","01","901","Iruña de Oca",""
"01","028","2006","Labastida/Bastida","nombre nuevo de","01","028","Labastida",""
"01","028","1974","Labastida","se le agrega","01","050","Salinillas de Buradón",""
"01","029","1977","Labraza","es agregado a","01","043","Oyón",""
"01","030","1977","Lagrán","se le agrega","01","045","Pipaón",""
"01","032","1997","Lanciego/Lantziego","nombre nuevo de","01","032","Lanciego",""
"01","035","1976","Lezama","es agregado a","01","002","Amurrio",""
"01","036","2005","Laudio/Llodio","nombre nuevo de","01","036","Llodio",""
"01","037","1987","Arraia-Maeztu","nombre nuevo de","01","037","Maestu",""
"01","038","1975","Mendoza","es agregado a","01","059","Vitoria",""
"01","039","2011","Moreda de Álava/Moreda Araba","nombre nuevo de","01","039","Moreda de Álava",""
"01","040","1976","Nanclares de la Oca","fusionado en","01","901","Iruña de Oca",""
"01","042","1982","Okondo","nombre nuevo de","01","042","Oquendo",""
"01","043","1992","Oyón-Oion","nombre nuevo de","01","043","Oion",""
"01","043","1988","Oion","nombre nuevo de","01","043","Oyón",""
"01","043","1977","Oyón","se le agrega","01","012","Barriobusto",""
"01","043","1977","Oyón","se le agrega","01","029","Labraza",""
"01","044","1995","Peñacerrada-Urizaharra","nombre nuevo de","01","044","Peñacerrada",""
"01","045","1977","Pipaón","es agregado a","01","030","Lagrán",""
"01","046","2008","Erriberagoitia/Ribera Alta","nombre nuevo de","01","046","Ribera Alta",""
"01","047","1996","Ribera Baja/Erribera Beitia","nombre nuevo de","01","047","Ribera Baja",""
"01","048","1977","Salcedo","fusionado en","01","902","Lantarón",""
"01","049","1997","Añana","nombre nuevo de","01","049","Salinas de Añana",""
"01","050","1974","Salinillas de Buradón","es agregado a","01","028","Labastida",""
"01","051","2002","Salvatierra/Agurain","nombre nuevo de","01","051","Salvatierra o Agurain",""
"01","051","1994","Salvatierra o Agurain","nombre nuevo de","01","051","Salvatierra",""
"01","053","1996","San Millán/Donemiliaga","nombre nuevo de","01","053","San Millán",""
"01","054","1995","Urkabustaiz","nombre nuevo de","01","054","Urcabustaiz",""
"01","055","2006","Valdegovía/Gaubea","nombre nuevo de","01","055","Valdegovía",""
"01","056","1996","Harana/Valle de Arana","nombre nuevo de","01","056","Valle de Arana",""
"01","057","1996","Villabuena de Álava/Eskuernaga","nombre nuevo de","01","057","Villabuena de Álava",""
"01","058","2010","Legutio","nombre nuevo de","01","058","Legutiano",""
"01","058","1982","Legutiano","nombre nuevo de","01","058","Villarreal de Álava",""
"01","059","1983","Vitoria-Gasteiz","nombre nuevo de","01","059","Vitoria",""
"01","059","1975","Vitoria","se le agrega","01","024","Foronda",""
"01","059","1975","Vitoria","se le agrega","01","025","Huetos (Los)",""
"01","059","1975","Vitoria","se le agrega","01","038","Mendoza",""
"01","060","2002","Yécora/Iekora","nombre nuevo de","01","060","Yécora",""
"01","061","1984","Zalduondo","nombre nuevo de","01","061","Zalduendo",""
"01","061","1981","Zalduendo","nombre nuevo de","01","061","Zalduendo de Álava",""
"01","063","1995","Zuia","nombre nuevo de","01","063","Zuya",""
"01","901","1997","Iruña Oka/Iruña de Oca","nombre nuevo de","01","901","Iruña de Oca",""
"01","901","1976","Iruña de Oca","creado por fusión de","01","026","Iruña",""
"01","901","1976","Iruña de Oca","creado por fusión de","01","040","Nanclares de la Oca",""
"01","902","1977","Lantarón","creado por fusión de","01","015","Bergüenda",""
