,NOMBRE
0,Abegondo
1,Ames
2,Aranga
3,Ares
4,Arteixo
5,Arzúa
6,"Baña, A"
7,Bergondo
8,Betanzos
9,Boimorto
10,Boiro
11,Boqueixón
12,Brión
13,Cabana de Bergantiños
14,Cabanas
15,Camariñas
16,Cambre
17,"Capela, A"
18,Carballo
19,Cariño
20,Carnota
21,Carral
22,Cedeira
23,Cee
24,Cerceda
25,Cerdido
26,Cesuras
27,Coirós
28,Corcubión
29,Coristanco
30,"Coruña, A"
31,Culleredo
32,Curtis
33,Dodro
34,Dumbría
35,Fene
36,Ferrol
37,Fisterra
38,Frades
39,Irixoa
40,"Laracha, A"
41,Laxe
42,Lousame
43,Malpica de Bergantiños
44,Mañón
45,Mazaricos
46,Melide
47,Mesía
48,Miño
49,Moeche
50,Monfero
51,Mugardos
52,Muros
53,Muxía
54,Narón
55,Neda
56,Negreira
57,Noia
58,Oleiros
59,Ordes
60,Oroso
61,Ortigueira
62,Outes
63,Oza dos Ríos
64,Paderne
65,Padrón
66,"Pino, O"
67,"Pobra do Caramiñal, A"
68,Ponteceso
69,Pontedeume
70,"Pontes de García Rodríguez, As"
71,Porto do Son
72,Rianxo
73,Ribeira
74,Rois
75,Sada
76,San Sadurniño
77,Santa Comba
78,Santiago de Compostela
79,Santiso
80,Sobrado
81,"Somozas, As"
82,Teo
83,Toques
84,Tordoia
85,Touro
86,Trazo
87,Val do Dubra
88,Valdoviño
89,Vedra
90,Vilarmaior
91,Vilasantar
92,Vimianzo
93,Zas
