,NOMBRE
0,Abengibre
1,Alatoz
2,Albacete
3,Albatana
4,Alborea
5,Alcadozo
6,Alcalá del Júcar
7,Alcaraz
8,Almansa
9,Alpera
10,Ayna
11,Balazote
12,"Ballestero, El"
13,Balsa de Ves
14,Barrax
15,Bienservida
16,Bogarra
17,Bonete
18,"Bonillo, El"
19,Carcelén
20,Casas de Juan Núñez
21,Casas de Lázaro
22,Casas de Ves
23,Casas-Ibáñez
24,Caudete
25,Cenizate
26,Chinchilla de Monte-Aragón
27,Corral-Rubio
28,Cotillas
29,Elche de la Sierra
30,Férez
31,Fuensanta
32,Fuente-Álamo
33,Fuentealbilla
34,"Gineta, La"
35,Golosalvo
36,Hellín
37,"Herrera, La"
38,Higueruela
39,Hoya-Gonzalo
40,Jorquera
41,Letur
42,Lezuza
43,Liétor
44,Madrigueras
45,Mahora
46,Masegoso
47,Minaya
48,Molinicos
49,Montalvos
50,Montealegre del Castillo
51,Motilleja
52,Munera
53,Navas de Jorquera
54,Nerpio
55,Ontur
56,Ossa de Montiel
57,Paterna del Madera
58,Peñas de San Pedro
59,Peñascosa
60,Pétrola
61,Povedilla
62,Pozo Cañada
63,Pozohondo
64,Pozo-Lorente
65,Pozuelo
66,"Recueja, La"
67,Riópar
68,Robledo
69,"Roda, La"
70,Salobre
71,San Pedro
72,Socovos
73,Tarazona de la Mancha
74,Tobarra
75,Valdeganga
76,Vianos
77,Villa de Ves
78,Villalgordo del Júcar
79,Villamalea
80,Villapalacios
81,Villarrobledo
82,Villatoya
83,Villavaliente
84,Villaverde de Guadalimar
85,Viveros
86,Yeste
