,NOMBRE
0,Abla
1,Abrucena
2,Adra
3,Albánchez
4,Alboloduy
5,Albox
6,Alcolea
7,Alcóntar
8,Alcudia de Monteagud
9,Alhabia
10,Alhama de Almería
11,Alicún
12,Almería
13,Almócita
14,Alsodux
15,Antas
16,Arboleas
17,Armuña de Almanzora
18,Bacares
19,Bayárcal
20,Bayarque
21,Bédar
22,Beires
23,Benahadux
24,Benitagla
25,Benizalón
26,Bentarique
27,Berja
28,Canjáyar
29,Cantoria
30,Carboneras
31,Castro de Filabres
32,Chercos
33,Chirivel
34,Cóbdar
35,Cuevas del Almanzora
36,Dalías
37,"Ejido, El"
38,Enix
39,Felix
40,Fines
41,Fiñana
42,Fondón
43,Gádor
44,"Gallardos, Los"
45,Garrucha
46,Gérgal
47,Huécija
48,Huércal de Almería
49,Huércal-Overa
50,Illar
51,Instinción
52,Laroya
53,Láujar de Andarax
54,Líjar
55,Lubrín
56,Lucainena de las Torres
57,Lúcar
58,Macael
59,María
60,Mojácar
61,"Mojonera, La"
62,Nacimiento
63,Níjar
64,Ohanes
65,Olula de Castro
66,Olula del Río
67,Oria
68,Padules
69,Partaloa
70,Paterna del Río
71,Pechina
72,Pulpí
73,Purchena
74,Rágol
75,Rioja
76,Roquetas de Mar
77,Santa Cruz de Marchena
78,Santa Fe de Mondújar
79,Senés
80,Serón
81,Sierro
82,Somontín
83,Sorbas
84,Suflí
85,Tabernas
86,Taberno
87,Tahal
88,Terque
89,Tíjola
90,"Tres Villas, Las"
91,Turre
92,Turrillas
93,Uleila del Campo
94,Urrácal
95,Velefique
96,Vélez-Blanco
97,Vélez-Rubio
98,Vera
99,Viator
100,Vícar
101,Zurgena
