,NOMBRE
0,Adanero
1,"Adrada, La"
2,Albornos
3,Aldeanueva de Santa Cruz
4,Aldeaseca
5,"Aldehuela, La"
6,Amavida
7,"Arenal, El"
8,Arenas de San Pedro
9,Arevalillo
10,Arévalo
11,Aveinte
12,Avellaneda
13,Ávila
14,"Barco de Ávila, El"
15,"Barraco, El"
16,Barromán
17,Becedas
18,Becedillas
19,Bercial de Zapardiel
20,"Berlanas, Las"
21,Bernuy-Zapardiel
22,Berrocalejo de Aragona
23,Blascomillán
24,Blasconuño de Matacabras
25,Blascosancho
26,"Bohodón, El"
27,Bohoyo
28,Bonilla de la Sierra
29,Brabos
30,Bularros
31,Burgohondo
32,Cabezas de Alambre
33,Cabezas del Pozo
34,Cabezas del Villar
35,Cabizuela
36,Canales
37,Candeleda
38,Cantiveros
39,Cardeñosa
40,"Carrera, La"
41,Casas del Puerto
42,Casasola
43,Casavieja
44,Casillas
45,Castellanos de Zapardiel
46,Cebreros
47,Cepeda la Mora
48,Chamartín
49,Cillán
50,Cisla
51,"Colilla, La"
52,Collado de Contreras
53,Collado del Mirón
54,Constanzana
55,Crespos
56,Cuevas del Valle
57,Diego del Carpio
58,Donjimeno
59,Donvidas
60,Espinosa de los Caballeros
61,Flores de Ávila
62,Fontiveros
63,Fresnedilla
64,"Fresno, El"
65,Fuente el Saúz
66,Fuentes de Año
67,Gallegos de Altamiros
68,Gallegos de Sobrinos
69,Garganta del Villar
70,Gavilanes
71,Gemuño
72,Gil García
73,Gilbuena
74,Gimialcón
75,Gotarrendura
76,Grandes y San Martín
77,Guisando
78,Gutierre-Muñoz
79,Hernansancho
80,Herradón de Pinares
81,Herreros de Suso
82,Higuera de las Dueñas
83,"Hija de Dios, La"
84,"Horcajada, La"
85,Horcajo de las Torres
86,"Hornillo, El"
87,"Hoyo de Pinares, El"
88,Hoyocasero
89,Hoyorredondo
90,Hoyos de Miguel Muñoz
91,Hoyos del Collado
92,Hoyos del Espino
93,Hurtumpascual
94,Junciana
95,Langa
96,Lanzahíta
97,"Llanos de Tormes, Los"
98,"Losar del Barco, El"
99,Madrigal de las Altas Torres
100,Maello
101,Malpartida de Corneja
102,Mamblas
103,Mancera de Arriba
104,Manjabálago
105,Marlín
106,Martiherrero
107,Martínez
108,Mediana de Voltoya
109,Medinilla
110,Mengamuñoz
111,Mesegar de Corneja
112,Mijares
113,Mingorría
114,"Mirón, El"
115,Mironcillo
116,Mirueña de los Infanzones
117,Mombeltrán
118,Monsalupe
119,Moraleja de Matacabras
120,Muñana
121,Muñico
122,Muñogalindo
123,Muñogrande
124,Muñomer del Peco
125,Muñopepe
126,Muñosancho
127,Muñotello
128,Narrillos del Álamo
129,Narrillos del Rebollar
130,Narros de Saldueña
131,Narros del Castillo
132,Narros del Puerto
133,Nava de Arévalo
134,Nava del Barco
135,Navacepedilla de Corneja
136,Navadijos
137,Navaescurial
138,Navahondilla
139,Navalacruz
140,Navalmoral
141,Navalonguilla
142,Navalosa
143,Navalperal de Pinares
144,Navalperal de Tormes
145,Navaluenga
146,Navaquesera
147,Navarredonda de Gredos
148,Navarredondilla
149,Navarrevisca
150,"Navas del Marqués, Las"
151,Navatalgordo
152,Navatejares
153,Neila de San Miguel
154,Niharra
155,Ojos-Albos
156,Orbita
157,"Oso, El"
158,Padiernos
159,Pajares de Adaja
160,Palacios de Goda
161,Papatrigo
162,"Parral, El"
163,Pascualcobo
164,Pedro Bernardo
165,Pedro-Rodríguez
166,Peguerinos
167,Peñalba de Ávila
168,Piedrahíta
169,Piedralaves
170,Poveda
171,Poyales del Hoyo
172,Pozanco
173,Pradosegar
174,Puerto Castilla
175,Rasueros
176,Riocabado
177,Riofrío
178,Rivilla de Barajas
179,Salobral
180,Salvadiós
181,San Bartolomé de Béjar
182,San Bartolomé de Corneja
183,San Bartolomé de Pinares
184,San Esteban de los Patos
185,San Esteban de Zapardiel
186,San Esteban del Valle
187,San García de Ingelmos
188,San Juan de Gredos
189,San Juan de la Encinilla
190,San Juan de la Nava
191,San Juan del Molinillo
192,San Juan del Olmo
193,San Lorenzo de Tormes
194,San Martín de la Vega del Alberche
195,San Martín del Pimpollar
196,San Miguel de Corneja
197,San Miguel de Serrezuela
198,San Pascual
199,San Pedro del Arroyo
200,San Vicente de Arévalo
201,Sanchidrián
202,Sanchorreja
203,Santa Cruz de Pinares
204,Santa Cruz del Valle
205,Santa María de los Caballeros
206,Santa María del Arroyo
207,Santa María del Berrocal
208,Santa María del Cubillo
209,Santa María del Tiétar
210,Santiago del Collado
211,Santiago del Tormes
212,Santo Domingo de las Posadas
213,Santo Tomé de Zabarcos
214,"Serrada, La"
215,Serranillos
216,Sigeres
217,Sinlabajos
218,Solana de Ávila
219,Solana de Rioalmar
220,Solosancho
221,Sotalbo
222,Sotillo de la Adrada
223,"Tiemblo, El"
224,Tiñosillos
225,Tolbaños
226,Tormellas
227,Tornadizos de Ávila
228,"Torre, La"
229,Tórtoles
230,Umbrías
231,Vadillo de la Sierra
232,Valdecasa
233,Vega de Santa María
234,Velayos
235,Villaflor
236,Villafranca de la Sierra
237,Villanueva de Ávila
238,Villanueva de Gómez
239,Villanueva del Aceral
240,Villanueva del Campillo
241,Villar de Corneja
242,Villarejo del Valle
243,Villatoro
244,Viñegra de Moraña
245,Vita
246,Zapardiel de la Cañada
247,Zapardiel de la Ribera
