,NOMBRE
0,Alcalá de los Gazules
1,Alcalá del Valle
2,Algar
3,Algeciras
4,Algodonales
5,Arcos de la Frontera
6,Barbate
7,"Barrios, Los"
8,Benalup-Casas Viejas
9,Benaocaz
10,Bornos
11,"Bosque, El"
12,Cádiz
13,Castellar de la Frontera
14,Chiclana de la Frontera
15,Chipiona
16,Conil de la Frontera
17,Espera
18,"Gastor, El"
19,Grazalema
20,Jerez de la Frontera
21,Jimena de la Frontera
22,"Línea de la Concepción, La"
23,Medina-Sidonia
24,Olvera
25,Paterna de Rivera
26,Prado del Rey
27,"Puerto de Santa María, El"
28,Puerto Real
29,Puerto Serrano
30,Rota
31,San Fernando
32,San José del Valle
33,San Roque
34,Sanlúcar de Barrameda
35,Setenil de las Bodegas
36,Tarifa
37,Torre Alháquime
38,Trebujena
39,Ubrique
40,Vejer de la Frontera
41,Villaluenga del Rosario
42,Villamartín
43,Zahara
