,NOMBRE
0,Adamuz
1,Aguilar de la Frontera
2,Alcaracejos
3,Almedinilla
4,Almodóvar del Río
5,Añora
6,Baena
7,Belalcázar
8,Belmez
9,Benamejí
10,"Blázquez, Los"
11,Bujalance
12,Cabra
13,Cañete de las Torres
14,Carcabuey
15,Cardeña
16,"Carlota, La"
17,"Carpio, El"
18,Castro del Río
19,Conquista
20,Córdoba
21,Doña Mencía
22,Dos Torres
23,Encinas Reales
24,Espejo
25,Espiel
26,Fernán-Núñez
27,Fuente la Lancha
28,Fuente Obejuna
29,Fuente Palmera
30,Fuente-Tójar
31,"Granjuela, La"
32,Guadalcázar
33,"Guijo, El"
34,Hinojosa del Duque
35,Hornachuelos
36,Iznájar
37,Lucena
38,Luque
39,Montalbán de Córdoba
40,Montemayor
41,Montilla
42,Montoro
43,Monturque
44,Moriles
45,Nueva Carteya
46,Obejo
47,Palenciana
48,Palma del Río
49,Pedro Abad
50,Pedroche
51,Peñarroya-Pueblonuevo
52,Posadas
53,Pozoblanco
54,Priego de Córdoba
55,Puente Genil
56,"Rambla, La"
57,Rute
58,San Sebastián de los Ballesteros
59,Santa Eufemia
60,Santaella
61,Torrecampo
62,Valenzuela
63,Valsequillo
64,"Victoria, La"
65,Villa del Río
66,Villafranca de Córdoba
67,Villaharta
68,Villanueva de Córdoba
69,Villanueva del Duque
70,Villanueva del Rey
71,Villaralto
72,Villaviciosa de Córdoba
73,"Viso, El"
74,Zuheros
