,NOMBRE
0,Agullana
1,Aiguaviva
2,Albanyà
3,Albons
4,Alp
5,Amer
6,Anglès
7,Arbúcies
8,Argelaguer
9,"Armentera, L'"
10,Avinyonet de Puigventós
11,Banyoles
12,Bàscara
13,Begur
14,Bellcaire d'Empordà
15,Besalú
16,Bescanó
17,Beuda
18,"Bisbal d'Empordà, La"
19,Biure
20,Blanes
21,Boadella i les Escaules
22,Bolvir
23,Bordils
24,Borrassà
25,Breda
26,Brunyola
27,Cabanelles
28,Cabanes
29,Cadaqués
30,Caldes de Malavella
31,Calonge
32,Camós
33,Campdevànol
34,Campelles
35,Campllong
36,Camprodon
37,Canet d'Adri
38,Cantallops
39,Capmany
40,Cassà de la Selva
41,Castellfollit de la Roca
42,Castelló d'Empúries
43,Castell-Platja d'Aro
44,"Cellera de Ter, La"
45,Celrà
46,Cervià de Ter
47,Cistella
48,Colera
49,Colomers
50,Corçà
51,Cornellà del Terri
52,Crespià
53,"Cruïlles, Monells i Sant Sadurní de l'Heura"
54,Darnius
55,Das
56,"Escala, L'"
57,Espinelves
58,Espolla
59,Esponellà
60,"Far d'Empordà, El"
61,Figueres
62,Flaçà
63,Foixà
64,Fontanals de Cerdanya
65,Fontanilles
66,Fontcoberta
67,Forallac
68,Fornells de la Selva
69,Fortià
70,Garrigàs
71,Garrigoles
72,Garriguella
73,Ger
74,Girona
75,Gombrèn
76,Gualta
77,Guils de Cerdanya
78,Hostalric
79,Isòvol
80,Jafre
81,"Jonquera, La"
82,Juià
83,Lladó
84,Llagostera
85,Llambilles
86,Llanars
87,Llançà
88,Llers
89,Llívia
90,Lloret de Mar
91,"Llosses, Les"
92,Maçanet de Cabrenys
93,Maçanet de la Selva
94,Madremanya
95,Maià de Montcal
96,Masarac
97,Massanes
98,Meranges
99,Mieres
100,Mollet de Peralada
101,Molló
102,Montagut i Oix
103,Mont-ras
104,Navata
105,Ogassa
106,Olot
107,Ordis
108,Osor
109,Palafrugell
110,Palamós
111,Palau de Santa Eulàlia
112,Palau-sator
113,Palau-saverdera
114,Palol de Revardit
115,Pals
116,Pardines
117,Parlavà
118,Pau
119,Pedret i Marzà
120,"Pera, La"
121,Peralada
122,"Planes d'Hostoles, Les"
123,Planoles
124,Pont de Molins
125,Pontós
126,Porqueres
127,"Port de la Selva, El"
128,Portbou
129,"Preses, Les"
130,Puigcerdà
131,Quart
132,Queralbs
133,Rabós
134,Regencós
135,Ribes de Freser
136,Riells i Viabrea
137,Ripoll
138,Riudarenes
139,Riudaura
140,Riudellots de la Selva
141,Riumors
142,Roses
143,Rupià
144,Sales de Llierca
145,Salt
146,Sant Andreu Salou
147,Sant Aniol de Finestres
148,Sant Climent Sescebes
149,Sant Feliu de Buixalleu
150,Sant Feliu de Guíxols
151,Sant Feliu de Pallerols
152,Sant Ferriol
153,Sant Gregori
154,Sant Hilari Sacalm
155,Sant Jaume de Llierca
156,Sant Joan de les Abadesses
157,Sant Joan de Mollet
158,Sant Joan les Fonts
159,Sant Jordi Desvalls
160,Sant Julià de Ramis
161,Sant Julià del Llor i Bonmatí
162,Sant Llorenç de la Muga
163,Sant Martí de Llémena
164,Sant Martí Vell
165,Sant Miquel de Campmajor
166,Sant Miquel de Fluvià
167,Sant Mori
168,Sant Pau de Segúries
169,Sant Pere Pescador
170,Santa Coloma de Farners
171,Santa Cristina d'Aro
172,Santa Llogaia d'Àlguema
173,Santa Pau
174,Sarrià de Ter
175,"Saus, Camallera i Llampaies"
176,"Selva de Mar, La"
177,Serinyà
178,Serra de Daró
179,Setcases
180,Sils
181,Siurana
182,Susqueda
183,"Tallada d'Empordà, La"
184,Terrades
185,Torrent
186,Torroella de Fluvià
187,Torroella de Montgrí
188,Tortellà
189,Toses
190,Tossa de Mar
191,Ullà
192,Ullastret
193,Ultramort
194,Urús
195,"Vajol, La"
196,"Vall de Bianya, La"
197,"Vall d'en Bas, La"
198,Vallfogona de Ripollès
199,Vall-llobrega
200,Ventalló
201,Verges
202,Vidrà
203,Vidreres
204,Vilabertran
205,Vilablareix
206,Viladamat
207,Viladasens
208,Vilademuls
209,Viladrau
210,Vilafant
211,Vilajuïga
212,Vilallonga de Ter
213,Vilamacolum
214,Vilamalla
215,Vilamaniscle
216,Vilanant
217,Vila-sacra
218,Vilaür
219,Vilobí d'Onyar
220,Vilopriu
