,NOMBRE
0,Agrón
1,Alamedilla
2,Albolote
3,Albondón
4,Albuñán
5,Albuñol
6,Albuñuelas
7,Aldeire
8,Alfacar
9,Algarinejo
10,Alhama de Granada
11,Alhendín
12,Alicún de Ortega
13,Almegíjar
14,Almuñécar
15,Alpujarra de la Sierra
16,Alquife
17,Arenas del Rey
18,Armilla
19,Atarfe
20,Baza
21,Beas de Granada
22,Beas de Guadix
23,Benalúa
24,Benalúa de las Villas
25,Benamaurel
26,Bérchules
27,Bubión
28,Busquístar
29,Cacín
30,Cádiar
31,Cájar
32,"Calahorra, La"
33,Calicasas
34,Campotéjar
35,Caniles
36,Cáñar
37,Capileira
38,Carataunas
39,Cástaras
40,Castilléjar
41,Castril
42,Cenes de la Vega
43,Chauchina
44,Chimeneas
45,Churriana de la Vega
46,Cijuela
47,Cogollos de Guadix
48,Cogollos de la Vega
49,Colomera
50,Cortes de Baza
51,Cortes y Graena
52,Cuevas del Campo
53,Cúllar
54,Cúllar Vega
55,Darro
56,Dehesas de Guadix
57,Deifontes
58,Diezma
59,Dílar
60,Dólar
61,Dúdar
62,Dúrcal
63,Escúzar
64,Ferreira
65,Fonelas
66,Freila
67,Fuente Vaqueros
68,"Gabias, Las"
69,Galera
70,Gobernador
71,Gójar
72,Gor
73,Gorafe
74,Granada
75,Guadahortuna
76,Guadix
77,"Guajares, Los"
78,Gualchos
79,Güejar Sierra
80,Güevéjar
81,Huélago
82,Huéneja
83,Huéscar
84,Huétor de Santillán
85,Huétor Tájar
86,Huétor Vega
87,Illora
88,Itrabo
89,Iznalloz
90,Jayena
91,Jerez del Marquesado
92,Jete
93,Jun
94,Juviles
95,Láchar
96,Lanjarón
97,Lanteira
98,Lecrín
99,Lentegí
100,Lobras
101,Loja
102,Lugros
103,Lújar
104,"Malahá, La"
105,Maracena
106,Marchal
107,Moclín
108,Molvízar
109,Monachil
110,Montefrío
111,Montejícar
112,Montillana
113,Moraleda de Zafayona
114,Morelábor
115,Motril
116,Murtas
117,Nevada
118,Nigüelas
119,Nívar
120,Ogíjares
121,Orce
122,Órgiva
123,Otívar
124,Otura
125,Padul
126,Pampaneira
127,Pedro Martínez
128,Peligros
129,"Peza, La"
130,"Pinar, El"
131,Pinos Genil
132,Pinos Puente
133,Píñar
134,Polícar
135,Polopos
136,Pórtugos
137,Puebla de Don Fadrique
138,Pulianas
139,Purullena
140,Quéntar
141,Rubite
142,Salar
143,Salobreña
144,Santa Cruz del Comercio
145,Santa Fe
146,Soportújar
147,Sorvilán
148,"Taha, La"
149,Torre-Cardela
150,Torvizcón
151,Trevélez
152,Turón
153,Ugíjar
154,"Valle, El"
155,Valle del Zalabí
156,Válor
157,Vegas del Genil
158,Vélez de Benaudalla
159,Ventas de Huelma
160,Villamena
161,Villanueva de las Torres
162,Villanueva Mesía
163,Víznar
164,Zafarraya
165,Zagra
166,"Zubia, La"
167,Zújar
