,NOMBRE
0,Abaltzisketa
1,Aduna
2,Aia
3,Aizarnazabal
4,Albiztur
5,Alegia
6,Alkiza
7,Altzaga
8,Altzo
9,Amezketa
10,Andoain
11,Anoeta
12,Antzuola
13,Arama
14,Aretxabaleta
15,Arrasate/Mondragón
16,Asteasu
17,Astigarraga
18,Ataun
19,Azkoitia
20,Azpeitia
21,Baliarrain
22,Beasain
23,Beizama
24,Belauntza
25,Berastegi
26,Bergara
27,Berrobi
28,Bidegoian
29,Deba
30,Donostia-San Sebastián
31,Eibar
32,Elduain
33,Elgeta
34,Elgoibar
35,Errenteria
36,Errezil
37,Eskoriatza
38,Ezkio-Itsaso
39,Gabiria
40,Gaintza
41,Gaztelu
42,Getaria
43,Hernani
44,Hernialde
45,Hondarribia
46,Ibarra
47,Idiazabal
48,Ikaztegieta
49,Irun
50,Irura
51,Itsasondo
52,Larraul
53,Lasarte-Oria
54,Lazkao
55,Leaburu
56,Legazpi
57,Legorreta
58,Leintz-Gatzaga
59,Lezo
60,Lizartza
61,Mendaro
62,Mutiloa
63,Mutriku
64,Oiartzun
65,Olaberria
66,Oñati
67,Ordizia
68,Orendain
69,Orexa
70,Orio
71,Ormaiztegi
72,Pasaia
73,Segura
74,Soraluze/Placencia de las Armas
75,Tolosa
76,Urnieta
77,Urretxu
78,Usurbil
79,Villabona
80,Zaldibia
81,Zarautz
82,Zegama
83,Zerain
84,Zestoa
85,Zizurkil
86,Zumaia
87,Zumarraga
