,NOMBRE
0,Alájar
1,Aljaraque
2,"Almendro, El"
3,Almonaster la Real
4,Almonte
5,Alosno
6,Aracena
7,Aroche
8,Arroyomolinos de León
9,Ayamonte
10,Beas
11,Berrocal
12,Bollullos Par del Condado
13,Bonares
14,Cabezas Rubias
15,Cala
16,Calañas
17,"Campillo, El"
18,Campofrío
19,Cañaveral de León
20,Cartaya
21,Castaño del Robledo
22,"Cerro de Andévalo, El"
23,Chucena
24,Corteconcepción
25,Cortegana
26,Cortelazor
27,Cumbres de Enmedio
28,Cumbres de San Bartolomé
29,Cumbres Mayores
30,Encinasola
31,Escacena del Campo
32,Fuenteheridos
33,Galaroza
34,Gibraleón
35,"Granada de Río-Tinto, La"
36,"Granado, El"
37,Higuera de la Sierra
38,Hinojales
39,Hinojos
40,Huelva
41,Isla Cristina
42,Jabugo
43,Lepe
44,Linares de la Sierra
45,Lucena del Puerto
46,Manzanilla
47,"Marines, Los"
48,Minas de Riotinto
49,Moguer
50,"Nava, La"
51,Nerva
52,Niebla
53,"Palma del Condado, La"
54,Palos de la Frontera
55,Paterna del Campo
56,Paymogo
57,Puebla de Guzmán
58,Puerto Moral
59,Punta Umbría
60,Rociana del Condado
61,Rosal de la Frontera
62,San Bartolomé de la Torre
63,San Juan del Puerto
64,San Silvestre de Guzmán
65,Sanlúcar de Guadiana
66,Santa Ana la Real
67,Santa Bárbara de Casa
68,Santa Olalla del Cala
69,Trigueros
70,Valdelarco
71,Valverde del Camino
72,Villablanca
73,Villalba del Alcor
74,Villanueva de las Cruces
75,Villanueva de los Castillejos
76,Villarrasa
77,Zalamea la Real
78,Zufre
