,NOMBRE
0,Albanchez de Mágina
1,Alcalá la Real
2,Alcaudete
3,Aldeaquemada
4,Andújar
5,Arjona
6,Arjonilla
7,Arquillos
8,Arroyo del Ojanco
9,Baeza
10,Bailén
11,Baños de la Encina
12,Beas de Segura
13,Bedmar y Garcíez
14,Begíjar
15,Bélmez de la Moraleda
16,Benatae
17,Cabra del Santo Cristo
18,Cambil
19,Campillo de Arenas
20,Canena
21,Carboneros
22,Cárcheles
23,"Carolina, La"
24,Castellar
25,Castillo de Locubín
26,Cazalilla
27,Cazorla
28,Chiclana de Segura
29,Chilluévar
30,Escañuela
31,Espelúy
32,Frailes
33,Fuensanta de Martos
34,Fuerte del Rey
35,Génave
36,"Guardia de Jaén, La"
37,Guarromán
38,Higuera de Calatrava
39,Hinojares
40,Hornos
41,Huelma
42,Huesa
43,Ibros
44,"Iruela, La"
45,Iznatoraf
46,Jabalquinto
47,Jaén
48,Jamilena
49,Jimena
50,Jódar
51,Lahiguera
52,Larva
53,Linares
54,Lopera
55,Lupión
56,Mancha Real
57,Marmolejo
58,Martos
59,Mengíbar
60,Montizón
61,Navas de San Juan
62,Noalejo
63,Orcera
64,Peal de Becerro
65,Pegalajar
66,Porcuna
67,Pozo Alcón
68,Puente de Génave
69,"Puerta de Segura, La"
70,Quesada
71,Rus
72,Sabiote
73,Santa Elena
74,Santiago de Calatrava
75,Santiago-Pontones
76,Santisteban del Puerto
77,Santo Tomé
78,Segura de la Sierra
79,Siles
80,Sorihuela del Guadalimar
81,Torre del Campo
82,Torreblascopedro
83,Torredonjimeno
84,Torreperogil
85,Torres
86,Torres de Albánchez
87,Úbeda
88,Valdepeñas de Jaén
89,Vilches
90,Villacarrillo
91,Villanueva de la Reina
92,Villanueva del Arzobispo
93,Villardompardo
94,"Villares, Los"
95,Villarrodrigo
96,Villatorres
