,NOMBRE
0,Ábalos
1,Agoncillo
2,Aguilar del Río Alhama
3,Ajamil de Cameros
4,Albelda de Iregua
5,Alberite
6,Alcanadre
7,Aldeanueva de Ebro
8,Alesanco
9,Alesón
10,Alfaro
11,Almarza de Cameros
12,Anguciana
13,Anguiano
14,Arenzana de Abajo
15,Arenzana de Arriba
16,Arnedillo
17,Arnedo
18,Arrúbal
19,Ausejo
20,Autol
21,Azofra
22,Badarán
23,Bañares
24,Baños de Río Tobía
25,Baños de Rioja
26,Berceo
27,Bergasa
28,Bergasillas Bajera
29,Bezares
30,Bobadilla
31,Brieva de Cameros
32,Briñas
33,Briones
34,Cabezón de Cameros
35,Calahorra
36,Camprovín
37,Canales de la Sierra
38,Canillas de Río Tuerto
39,Cañas
40,Cárdenas
41,Casalarreina
42,Castañares de Rioja
43,Castroviejo
44,Cellorigo
45,Cenicero
46,Cervera del Río Alhama
47,Cidamón
48,Cihuri
49,Cirueña
50,Clavijo
51,Cordovín
52,Corera
53,Cornago
54,Corporales
55,Cuzcurrita de Río Tirón
56,Daroca de Rioja
57,Enciso
58,Entrena
59,Estollo
60,Ezcaray
61,Foncea
62,Fonzaleche
63,Fuenmayor
64,Galbárruli
65,Galilea
66,Gallinero de Cameros
67,Gimileo
68,Grañón
69,Grávalos
70,Haro
71,Herce
72,Herramélluri
73,Hervías
74,Hormilla
75,Hormilleja
76,Hornillos de Cameros
77,Hornos de Moncalvillo
78,Huércanos
79,Igea
80,Jalón de Cameros
81,Laguna de Cameros
82,Lagunilla del Jubera
83,Lardero
84,Ledesma de la Cogolla
85,Leiva
86,Leza de Río Leza
87,Logroño
88,Lumbreras
89,Manjarrés
90,Mansilla de la Sierra
91,Manzanares de Rioja
92,Matute
93,Medrano
94,Munilla
95,Murillo de Río Leza
96,Muro de Aguas
97,Muro en Cameros
98,Nájera
99,Nalda
100,Navajún
101,Navarrete
102,Nestares
103,Nieva de Cameros
104,Ochánduri
105,Ocón
106,Ojacastro
107,Ollauri
108,Ortigosa de Cameros
109,Pazuengos
110,Pedroso
111,Pinillos
112,Pradejón
113,Pradillo
114,Préjano
115,Quel
116,Rabanera
117,"Rasillo de Cameros, El"
118,"Redal, El"
119,Ribafrecha
120,Rincón de Soto
121,Robres del Castillo
122,Rodezno
123,Sajazarra
124,San Asensio
125,San Millán de la Cogolla
126,San Millán de Yécora
127,San Román de Cameros
128,San Torcuato
129,San Vicente de la Sonsierra
130,Santa Coloma
131,Santa Engracia del Jubera
132,Santa Eulalia Bajera
133,Santo Domingo de la Calzada
134,Santurde de Rioja
135,Santurdejo
136,Sojuela
137,Sorzano
138,Sotés
139,Soto en Cameros
140,Terroba
141,Tirgo
142,Tobía
143,Tormantos
144,Torre en Cameros
145,Torrecilla en Cameros
146,Torrecilla sobre Alesanco
147,Torremontalbo
148,Treviana
149,Tricio
150,Tudelilla
151,Uruñuela
152,Valdemadera
153,Valgañón
154,Ventosa
155,Ventrosa
156,Viguera
157,Villalba de Rioja
158,Villalobar de Rioja
159,Villamediana de Iregua
160,Villanueva de Cameros
161,"Villar de Arnedo, El"
162,Villar de Torre
163,Villarejo
164,Villarroya
165,Villarta-Quintana
166,Villavelayo
167,Villaverde de Rioja
168,Villoslada de Cameros
169,Viniegra de Abajo
170,Viniegra de Arriba
171,Zarratón
172,Zarzosa
173,Zorraquín
