,NOMBRE
0,Agaete
1,Agüimes
2,"Aldea de San Nicolás, La"
3,Antigua
4,Arrecife
5,Artenara
6,Arucas
7,Betancuria
8,Firgas
9,Gáldar
10,Haría
11,Ingenio
12,Mogán
13,Moya
14,"Oliva, La"
15,Pájara
16,"Palmas de Gran Canaria, Las"
17,Puerto del Rosario
18,San Bartolomé
19,San Bartolomé de Tirajana
20,Santa Brígida
21,Santa Lucía de Tirajana
22,Santa María de Guía de Gran Canaria
23,Teguise
24,Tejeda
25,Telde
26,Teror
27,Tías
28,Tinajo
29,Tuineje
30,Valleseco
31,Valsequillo de Gran Canaria
32,Vega de San Mateo
33,Yaiza
