,NOMBRE
0,Abadín
1,Alfoz
2,Antas de Ulla
3,Baleira
4,Baralla
5,Barreiros
6,Becerreá
7,Begonte
8,Bóveda
9,Burela
10,Carballedo
11,Castro de Rei
12,Castroverde
13,Cervantes
14,Cervo
15,Chantada
16,"Corgo, O"
17,Cospeito
18,Folgoso do Courel
19,"Fonsagrada, A"
20,Foz
21,Friol
22,Guitiriz
23,Guntín
24,"Incio, O"
25,Láncara
26,Lourenzá
27,Lugo
28,Meira
29,Mondoñedo
30,Monforte de Lemos
31,Monterroso
32,Muras
33,Navia de Suarna
34,Negueira de Muñiz
35,"Nogais, As"
36,Ourol
37,Outeiro de Rei
38,Palas de Rei
39,Pantón
40,Paradela
41,"Páramo, O"
42,"Pastoriza, A"
43,Pedrafita do Cebreiro
44,"Pobra do Brollón, A"
45,Pol
46,"Pontenova, A"
47,Portomarín
48,Quiroga
49,Rábade
50,Ribadeo
51,Ribas de Sil
52,Ribeira de Piquín
53,Riotorto
54,Samos
55,Sarria
56,"Saviñao, O"
57,Sober
58,Taboada
59,Trabada
60,Triacastela
61,"Valadouro, O"
62,"Vicedo, O"
63,Vilalba
64,Viveiro
65,Xermade
66,Xove
