,NOMBRE
0,"Acebeda, La"
1,Ajalvir
2,Alameda del Valle
3,"Álamo, El"
4,Alcalá de Henares
5,Alcobendas
6,Alcorcón
7,Aldea del Fresno
8,Algete
9,Alpedrete
10,Ambite
11,Anchuelo
12,Aranjuez
13,Arganda del Rey
14,Arroyomolinos
15,"Atazar, El"
16,Batres
17,Becerril de la Sierra
18,Belmonte de Tajo
19,"Berrueco, El"
20,Berzosa del Lozoya
21,Boadilla del Monte
22,"Boalo, El"
23,Braojos
24,Brea de Tajo
25,Brunete
26,Buitrago del Lozoya
27,Bustarviejo
28,Cabanillas de la Sierra
29,"Cabrera, La"
30,Cadalso de los Vidrios
31,Camarma de Esteruelas
32,Campo Real
33,Canencia
34,Carabaña
35,Casarrubuelos
36,Cenicientos
37,Cercedilla
38,Cervera de Buitrago
39,Chapinería
40,Chinchón
41,Ciempozuelos
42,Cobeña
43,Collado Mediano
44,Collado Villalba
45,Colmenar de Oreja
46,Colmenar del Arroyo
47,Colmenar Viejo
48,Colmenarejo
49,Corpa
50,Coslada
51,Cubas de la Sagra
52,Daganzo de Arriba
53,"Escorial, El"
54,Estremera
55,Fresnedillas de la Oliva
56,Fresno de Torote
57,Fuenlabrada
58,Fuente el Saz de Jarama
59,Fuentidueña de Tajo
60,Galapagar
61,Garganta de los Montes
62,Gargantilla del Lozoya y Pinilla de Buitrago
63,Gascones
64,Getafe
65,Griñón
66,Guadalix de la Sierra
67,Guadarrama
68,"Hiruela, La"
69,Horcajo de la Sierra-Aoslos
70,Horcajuelo de la Sierra
71,Hoyo de Manzanares
72,Humanes de Madrid
73,Leganés
74,Loeches
75,Lozoya
76,Lozoyuela-Navas-Sieteiglesias
77,Madarcos
78,Madrid
79,Majadahonda
80,Manzanares el Real
81,Meco
82,Mejorada del Campo
83,Miraflores de la Sierra
84,"Molar, El"
85,"Molinos, Los"
86,Montejo de la Sierra
87,Moraleja de Enmedio
88,Moralzarzal
89,Morata de Tajuña
90,Móstoles
91,Navacerrada
92,Navalafuente
93,Navalagamella
94,Navalcarnero
95,Navarredonda y San Mamés
96,Navas del Rey
97,Nuevo Baztán
98,Olmeda de las Fuentes
99,Orusco de Tajuña
100,Paracuellos de Jarama
101,Parla
102,Patones
103,Pedrezuela
104,Pelayos de la Presa
105,Perales de Tajuña
106,Pezuela de las Torres
107,Pinilla del Valle
108,Pinto
109,Piñuécar-Gandullas
110,Pozuelo de Alarcón
111,Pozuelo del Rey
112,Prádena del Rincón
113,Puebla de la Sierra
114,Puentes Viejas
115,Quijorna
116,Rascafría
117,Redueña
118,Ribatejada
119,Rivas-Vaciamadrid
120,Robledillo de la Jara
121,Robledo de Chavela
122,Robregordo
123,"Rozas de Madrid, Las"
124,Rozas de Puerto Real
125,San Agustín del Guadalix
126,San Fernando de Henares
127,San Lorenzo de El Escorial
128,San Martín de la Vega
129,San Martín de Valdeiglesias
130,San Sebastián de los Reyes
131,Santa María de la Alameda
132,Santorcaz
133,"Santos de la Humosa, Los"
134,"Serna del Monte, La"
135,Serranillos del Valle
136,Sevilla la Nueva
137,Somosierra
138,Soto del Real
139,Talamanca de Jarama
140,Tielmes
141,Titulcia
142,Torrejón de Ardoz
143,Torrejón de la Calzada
144,Torrejón de Velasco
145,Torrelaguna
146,Torrelodones
147,Torremocha de Jarama
148,Torres de la Alameda
149,Tres Cantos
150,Valdaracete
151,Valdeavero
152,Valdelaguna
153,Valdemanco
154,Valdemaqueda
155,Valdemorillo
156,Valdemoro
157,Valdeolmos-Alalpardo
158,Valdepiélagos
159,Valdetorres de Jarama
160,Valdilecha
161,Valverde de Alcalá
162,Velilla de San Antonio
163,"Vellón, El"
164,Venturada
165,Villa del Prado
166,Villaconejos
167,Villalbilla
168,Villamanrique de Tajo
169,Villamanta
170,Villamantilla
171,Villanueva de la Cañada
172,Villanueva de Perales
173,Villanueva del Pardillo
174,Villar del Olmo
175,Villarejo de Salvanés
176,Villaviciosa de Odón
177,Villavieja del Lozoya
178,Zarzalejo
