,NOMBRE
0,Alameda
1,Alcaucín
2,Alfarnate
3,Alfarnatejo
4,Algarrobo
5,Algatocín
6,Alhaurín de la Torre
7,Alhaurín el Grande
8,Almáchar
9,Almargen
10,Almogía
11,Álora
12,Alozaina
13,Alpandeire
14,Antequera
15,Árchez
16,Archidona
17,Ardales
18,Arenas
19,Arriate
20,Atajate
21,Benadalid
22,Benahavís
23,Benalauría
24,Benalmádena
25,Benamargosa
26,Benamocarra
27,Benaoján
28,Benarrabá
29,"Borge, El"
30,"Burgo, El"
31,Campillos
32,Canillas de Aceituno
33,Canillas de Albaida
34,Cañete la Real
35,Carratraca
36,Cartajima
37,Cártama
38,Casabermeja
39,Casarabonela
40,Casares
41,Coín
42,Colmenar
43,Comares
44,Cómpeta
45,Cortes de la Frontera
46,Cuevas Bajas
47,Cuevas de San Marcos
48,Cuevas del Becerro
49,Cútar
50,Estepona
51,Faraján
52,Frigiliana
53,Fuengirola
54,Fuente de Piedra
55,Gaucín
56,Genalguacil
57,Guaro
58,Humilladero
59,Igualeja
60,Istán
61,Iznate
62,Jimera de Líbar
63,Jubrique
64,Júzcar
65,Macharaviaya
66,Málaga
67,Manilva
68,Marbella
69,Mijas
70,Moclinejo
71,Mollina
72,Monda
73,Montejaque
74,Nerja
75,Ojén
76,Parauta
77,Periana
78,Pizarra
79,Pujerra
80,Rincón de la Victoria
81,Riogordo
82,Ronda
83,Salares
84,Sayalonga
85,Sedella
86,Sierra de Yeguas
87,Teba
88,Tolox
89,Torremolinos
90,Torrox
91,Totalán
92,Valle de Abdalajís
93,Vélez-Málaga
94,Villanueva de Algaidas
95,Villanueva de la Concepción
96,Villanueva de Tapia
97,Villanueva del Rosario
98,Villanueva del Trabuco
99,Viñuela
100,Yunquera
