,NOMBRE
0,Abanilla
1,Abarán
2,Águilas
3,Albudeite
4,Alcantarilla
5,"Alcázares, Los"
6,Aledo
7,Alguazas
8,Alhama de Murcia
9,Archena
10,Beniel
11,Blanca
12,Bullas
13,Calasparra
14,Campos del Río
15,Caravaca de la Cruz
16,Cartagena
17,Cehegín
18,Ceutí
19,Cieza
20,Fortuna
21,Fuente Álamo de Murcia
22,Jumilla
23,Librilla
24,Lorca
25,Lorquí
26,Mazarrón
27,Molina de Segura
28,Moratalla
29,Mula
30,Murcia
31,Ojós
32,Pliego
33,Puerto Lumbreras
34,Ricote
35,San Javier
36,San Pedro del Pinatar
37,Santomera
38,Torre-Pacheco
39,"Torres de Cotillas, Las"
40,Totana
41,Ulea
42,"Unión, La"
43,Villanueva del Río Segura
44,Yecla
