OBJECTID,Codigo,Texto,Cod_Prov,Cod_CCAA,FechaId,NUTS_0,NUTS_1,NUTS_2,NUTS_3,PAD_2C02,PAD_2C03,PAD_2C04,PAD_2C05,PAD_2C06,PAD_2C07,PAD_2C08,PAD_2C09,PAD_2C10,PAD_2C11,PAD_2C12,PAD_2C13,PAD_2C14,PAD_2C15,PAD_2C16,PAD_2C17,PAD_2C18,PAD_2C19,PAD_2C20,PAD_2C21,PAD_2C22,PAD_2C23,PAD_2C24,PAD_2C25,PAD_2C26,PAD_2C27,PAD_2C28,PAD_2C29,PAD_2C30,PAD_2C31,PAD_2C32,PAD_2C33,PAD_2C34,PAD_2C35,PAD_2C36,PAD_2C37,PAD_2C38,PAD_2C39,PAD_2C40,PAD_2C41,PAD_2C42,PAD_2C43,PAD_2C44,PAD_2C45,PAD_2C46,PAD_2C47,PAD_2C48,PAD_2C49,PAD_2C50,PAD_2C51,PAD_2C52,PAD_2C53,PAD_2C54,PAD_2C55,PAD_2C56,PAD_2C57,PAD_2C58,PAD_3C03,PAD_3C04,PAD_3C05,PAD_3C06,PAD_3C07,PAD_3C08,PAD_3C09,PAD_3C10,PAD_3C100,PAD_3C101,PAD_3C102,PAD_3C103,PAD_3C104,PAD_3C105,PAD_3C106,PAD_3C107,PAD_3C108,PAD_3C109,PAD_3C11,PAD_3C110,PAD_3C111,PAD_3C112,PAD_3C12,PAD_3C13,PAD_3C14,PAD_3C15,PAD_3C16,PAD_3C17,PAD_3C18,PAD_3C19,PAD_3C20,PAD_3C21,PAD_3C22,PAD_3C23,PAD_3C24,PAD_3C25,PAD_3C26,PAD_3C27,PAD_3C28,PAD_3C29,PAD_3C30,PAD_3C31,PAD_3C32,PAD_3C33,PAD_3C34,PAD_3C35,PAD_3C36,PAD_3C37,PAD_3C38,PAD_3C39,PAD_3C40,PAD_3C41,PAD_3C42,PAD_3C43,PAD_3C44,PAD_3C45,PAD_3C46,PAD_3C47,PAD_3C48,PAD_3C49,PAD_3C50,PAD_3C51,PAD_3C52,PAD_3C53,PAD_3C54,PAD_3C55,PAD_3C56,PAD_3C57,PAD_3C58,PAD_3C59,PAD_3C60,PAD_3C61,PAD_3C62,PAD_3C63,PAD_3C64,PAD_3C65,PAD_3C66,PAD_3C67,PAD_3C68,PAD_3C69,PAD_3C70,PAD_3C71,PAD_3C72,PAD_3C73,PAD_3C74,PAD_3C75,PAD_3C76,PAD_3C77,PAD_3C78,PAD_3C79,PAD_3C80,PAD_3C81,PAD_3C82,PAD_3C83,PAD_3C84,PAD_3C85,PAD_3C86,PAD_3C87,PAD_3C88,PAD_3C89,PAD_3C90,PAD_3C91,PAD_3C92,PAD_3C93,PAD_3C94,PAD_3C95,PAD_3C96,PAD_3C97,PAD_3C98,PAD_3C99,PAD_3_COD_PROV,PAD_3_COD_CCAA,Shape__Area,Shape__Length
1,01001,Alegría-Dulantzi,01,16,01012017,ES,ES2,ES21,ES211,2913,171,253,228,152,100,106,133,272,379,317,233,148,117,83,83,58,41,39,1512,101,132,116,81,45,55,52,147,203,167,132,72,63,41,42,32,19,12,1401,70,121,112,71,55,51,81,125,176,150,101,76,54,42,41,26,22,27,2653,260,40,2,0,0,1,0,6,1,2,0,1,0,4,0,0,5,21,0,4,2,3,11,2,0,0,165,20,127,12,0,32,1,0,2,9,1,2,0,3,1,8,0,0,17,0,16,4,1512,1375,137,27,1,0,0,0,0,14,3,7,0,0,0,82,9,64,5,0,14,0,0,1,3,0,0,0,2,1,4,0,0,12,0,12,2,1401,1278,123,13,1,0,0,1,0,7,0,4,2,0,0,83,11,63,7,0,18,1,0,1,01,16,37092694.3803711,48191.5687507891
2,01002,Amurrio,01,16,01012017,ES,ES2,ES21,ES211,10291,568,540,398,389,413,513,662,809,752,758,809,830,707,657,498,317,326,345,5101,288,282,211,217,216,260,321,425,390,378,386,416,336,343,245,137,137,113,5190,280,258,187,172,197,253,341,384,362,380,423,414,371,314,253,180,189,232,9684,607,185,5,0,6,9,2,5,2,1,0,7,21,2,0,0,2,34,1,0,8,2,127,16,0,13,290,68,199,10,2,89,2,3,6,5,2,2,2,8,42,2,0,0,9,3,3,18,5101,4790,311,113,2,0,4,3,1,26,2,75,7,0,6,143,34,97,4,2,31,1,1,1,0,0,1,2,1,21,0,0,0,7,2,3,10,5190,4894,296,72,3,0,2,6,1,8,0,52,9,0,7,147,34,102,6,0,58,1,2,5,01,16,179911448.023315,90623.6217726267
3,01003,Aramaio,01,16,01012017,ES,ES2,ES21,ES211,1496,63,82,95,82,57,59,60,95,111,116,135,125,102,83,73,52,51,55,791,29,46,49,44,32,35,30,45,65,58,67,69,60,46,39,27,29,21,705,34,36,46,38,25,24,30,50,46,58,68,56,42,37,34,25,22,34,1475,21,6,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2,0,1,1,0,2,0,0,0,6,5,1,0,0,6,1,0,1,0,2,0,0,0,0,0,0,0,2,0,2,1,791,780,11,2,0,0,0,0,0,1,0,1,0,0,0,5,4,1,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,705,695,10,4,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,3,0,0,1,01,16,137706565.232788,58592.9152521766
4,01004,Artziniega,01,16,01012017,ES,ES2,ES21,ES211,1829,116,112,101,79,55,64,115,173,171,146,140,135,115,92,61,32,48,74,914,67,57,60,38,35,26,57,87,87,77,68,69,57,53,27,13,19,17,915,49,55,41,41,20,38,58,86,84,69,72,66,58,39,34,19,29,57,1760,69,11,0,0,0,0,0,1,0,0,0,0,0,1,0,1,4,2,0,0,0,2,6,0,0,0,42,8,30,0,1,11,0,1,3,2,0,0,0,0,0,1,0,1,4,0,0,1,914,878,36,6,0,0,0,0,0,2,1,3,0,0,0,26,5,18,0,0,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,915,882,33,5,0,0,0,0,0,0,1,3,0,0,0,16,3,12,0,1,8,0,0,2,01,16,51300778.0618896,31498.5235735303
5,01006,Armiñón,01,16,01012017,ES,ES2,ES21,ES211,239,10,16,17,7,6,6,16,18,30,32,22,19,8,8,9,3,5,7,128,6,10,10,3,5,3,8,9,18,14,12,12,4,4,4,1,3,2,111,4,6,7,4,1,3,8,9,12,18,10,7,4,4,5,2,2,5,224,15,8,0,0,1,2,0,0,2,0,0,0,0,1,0,0,0,3,0,0,0,0,2,0,0,0,2,2,0,0,0,5,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,128,120,8,5,0,0,1,1,0,2,0,1,0,0,0,1,1,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,111,104,7,3,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,3,0,0,0,01,16,23802884.9614258,33293.8051314875
6,01008,Arratzua-Ubarrundia,01,16,01012017,ES,ES2,ES21,ES211,976,33,53,45,65,40,43,47,51,57,91,102,96,74,78,31,16,26,28,528,22,29,25,33,21,23,30,31,24,51,58,51,41,44,18,5,13,9,448,11,24,20,32,19,20,17,20,33,40,44,45,33,34,13,11,13,19,951,25,13,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,1,2,1,0,0,9,0,9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,528,514,14,8,1,0,1,0,0,4,1,1,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,448,437,11,5,1,0,2,0,0,1,0,1,1,0,0,3,0,3,0,0,1,0,1,0,01,16,107422965.777832,89972.9346568566
7,01009,Asparrena,01,16,01012017,ES,ES2,ES21,ES211,1640,81,87,78,71,73,67,75,116,126,144,166,151,100,83,56,51,54,61,823,44,38,33,34,36,35,35,67,66,79,84,81,61,42,30,14,24,20,817,37,49,45,37,37,32,40,49,60,65,82,70,39,41,26,37,30,41,1539,101,23,0,0,0,2,0,1,0,0,1,1,0,0,0,0,1,2,0,1,0,0,19,0,0,0,70,10,50,1,3,6,0,0,2,1,0,0,1,1,0,1,0,0,2,0,2,0,823,776,47,13,0,0,0,2,0,1,0,10,0,0,0,32,4,23,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,817,763,54,10,0,0,0,0,0,1,0,9,0,0,0,38,6,27,0,1,5,0,0,2,01,16,118008144.299561,70669.9683627182
8,01010,Ayala/Aiara,01,16,01012017,ES,ES2,ES21,ES211,2969,174,200,194,123,94,109,131,250,335,304,250,193,137,115,116,73,78,93,1508,91,99,104,68,46,48,65,125,169,156,131,101,77,59,69,36,33,31,1461,83,101,90,55,48,61,66,125,166,148,119,92,60,56,47,37,45,62,2925,44,19,0,0,0,0,0,0,0,0,1,3,0,0,0,2,1,11,0,0,0,2,6,0,0,0,6,2,2,0,0,18,0,0,5,0,0,2,1,3,2,0,0,3,1,0,0,0,1508,1489,19,11,0,0,0,0,0,7,2,2,0,0,0,3,2,1,0,0,5,0,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,1461,1436,25,8,0,0,0,0,0,4,0,4,0,0,0,3,0,1,0,0,13,0,0,5,01,16,264340322.000244,88663.1906048576
9,01011,Baños de Ebro/Mañueta,01,16,01012017,ES,ES2,ES21,ES211,306,6,8,14,16,16,10,15,21,21,28,29,20,18,20,21,12,14,17,167,2,4,8,11,9,5,9,14,10,17,14,15,9,9,13,5,4,9,139,4,4,6,5,7,5,6,7,11,11,15,5,9,11,8,7,10,8,266,40,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,30,0,0,0,0,6,0,0,0,3,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,167,142,25,24,0,0,0,0,0,22,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,124,15,12,0,0,0,0,0,8,0,4,0,0,0,2,0,2,0,0,1,0,0,0,01,16,17206801.4051514,24650.5913499016
10,01013,Barrundia,01,16,01012017,ES,ES2,ES21,ES211,898,37,42,47,52,25,17,36,57,69,105,102,82,59,47,48,21,24,28,502,21,23,25,24,12,9,19,27,42,53,69,51,39,25,29,10,13,11,396,16,19,22,28,13,8,17,30,27,52,33,31,20,22,19,11,11,17,860,38,25,4,0,0,1,0,0,0,2,0,0,0,1,0,0,0,3,0,0,0,5,5,2,0,0,3,0,1,1,0,7,0,0,3,0,0,2,0,0,0,2,0,0,1,0,1,0,502,482,20,15,2,0,0,1,0,1,2,5,1,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,396,378,18,10,2,0,0,0,0,2,3,0,1,0,0,2,0,1,1,0,5,0,0,2,01,16,182865233.657959,80734.486695226
