,NOMBRE
0,Allariz
1,Amoeiro
2,"Arnoia, A"
3,Avión
4,Baltar
5,Bande
6,Baños de Molgas
7,Barbadás
8,"Barco de Valdeorras, O"
9,Beade
10,Beariz
11,"Blancos, Os"
12,Boborás
13,"Bola, A"
14,"Bolo, O"
15,Calvos de Randín
16,Carballeda de Avia
17,Carballeda de Valdeorras
18,"Carballiño, O"
19,Cartelle
20,Castrelo de Miño
21,Castrelo do Val
22,Castro Caldelas
23,Celanova
24,Cenlle
25,Chandrexa de Queixa
26,Coles
27,Cortegada
28,Cualedro
29,Entrimo
30,Esgos
31,Gomesende
32,"Gudiña, A"
33,"Irixo, O"
34,Larouco
35,Laza
36,Leiro
37,Lobeira
38,Lobios
39,Maceda
40,Manzaneda
41,Maside
42,Melón
43,"Merca, A"
44,"Mezquita, A"
45,Montederramo
46,Monterrei
47,Muíños
48,Nogueira de Ramuín
49,Oímbra
50,Ourense
51,Paderne de Allariz
52,Padrenda
53,Parada de Sil
54,"Pereiro de Aguiar, O"
55,"Peroxa, A"
56,Petín
57,Piñor
58,"Pobra de Trives, A"
59,Pontedeva
60,Porqueira
61,Punxín
62,Quintela de Leirado
63,Rairiz de Veiga
64,Ramirás
65,Ribadavia
66,Riós
67,"Rúa, A"
68,Rubiá
69,San Amaro
70,San Cibrao das Viñas
71,San Cristovo de Cea
72,San Xoán de Río
73,Sandiás
74,Sarreaus
75,Taboadela
76,"Teixeira, A"
77,Toén
78,Trasmiras
79,"Veiga, A"
80,Verea
81,Verín
82,Viana do Bolo
83,Vilamarín
84,Vilamartín de Valdeorras
85,Vilar de Barrio
86,Vilar de Santos
87,Vilardevós
88,Vilariño de Conso
89,Xinzo de Limia
90,Xunqueira de Ambía
91,Xunqueira de Espadanedo
