,NOMBRE
0,Abarca de Campos
1,Abia de las Torres
2,Aguilar de Campoo
3,Alar del Rey
4,Alba de Cerrato
5,Amayuelas de Arriba
6,Ampudia
7,Amusco
8,Antigüedad
9,Arconada
10,Astudillo
11,Autilla del Pino
12,Autillo de Campos
13,Ayuela
14,Baltanás
15,Baquerín de Campos
16,Bárcena de Campos
17,Barruelo de Santullán
18,Báscones de Ojeda
19,Becerril de Campos
20,Belmonte de Campos
21,Berzosilla
22,Boada de Campos
23,Boadilla de Rioseco
24,Boadilla del Camino
25,Brañosera
26,Buenavista de Valdavia
27,Bustillo de la Vega
28,Bustillo del Páramo de Carrión
29,Calahorra de Boedo
30,Calzada de los Molinos
31,Capillas
32,Cardeñosa de Volpejera
33,Carrión de los Condes
34,Castil de Vela
35,Castrejón de la Peña
36,Castrillo de Don Juan
37,Castrillo de Onielo
38,Castrillo de Villavega
39,Castromocho
40,Cervatos de la Cueza
41,Cervera de Pisuerga
42,Cevico de la Torre
43,Cevico Navero
44,Cisneros
45,Cobos de Cerrato
46,Collazos de Boedo
47,Congosto de Valdavia
48,Cordovilla la Real
49,Cubillas de Cerrato
50,Dehesa de Montejo
51,Dehesa de Romanos
52,Dueñas
53,Espinosa de Cerrato
54,Espinosa de Villagonzalo
55,Frechilla
56,Fresno del Río
57,Frómista
58,Fuentes de Nava
59,Fuentes de Valdepero
60,Grijota
61,Guardo
62,Guaza de Campos
63,Hérmedes de Cerrato
64,Herrera de Pisuerga
65,Herrera de Valdecañas
66,Hontoria de Cerrato
67,Hornillos de Cerrato
68,Husillos
69,Itero de la Vega
70,Lagartos
71,Lantadilla
72,Ledigos
73,Loma de Ucieza
74,Lomas
75,Magaz de Pisuerga
76,Manquillos
77,Mantinos
78,Marcilla de Campos
79,Mazariegos
80,Mazuecos de Valdeginate
81,Melgar de Yuso
82,Meneses de Campos
83,Micieces de Ojeda
84,Monzón de Campos
85,Moratinos
86,Mudá
87,Nogal de las Huertas
88,Olea de Boedo
89,Olmos de Ojeda
90,Osornillo
91,Osorno la Mayor
92,Palencia
93,Palenzuela
94,Páramo de Boedo
95,Paredes de Nava
96,Payo de Ojeda
97,Pedraza de Campos
98,Pedrosa de la Vega
99,Perales
100,"Pernía, La"
101,Pino del Río
102,Piña de Campos
103,Población de Arroyo
104,Población de Campos
105,Población de Cerrato
106,Polentinos
107,Pomar de Valdivia
108,Poza de la Vega
109,Pozo de Urama
110,Prádanos de Ojeda
111,"Puebla de Valdavia, La"
112,Quintana del Puente
113,Quintanilla de Onsoña
114,Reinoso de Cerrato
115,Renedo de la Vega
116,Requena de Campos
117,Respenda de la Peña
118,Revenga de Campos
119,Revilla de Collazos
120,Ribas de Campos
121,Riberos de la Cueza
122,Saldaña
123,Salinas de Pisuerga
124,San Cebrián de Campos
125,San Cebrián de Mudá
126,San Cristóbal de Boedo
127,San Mamés de Campos
128,San Román de la Cuba
129,Santa Cecilia del Alcor
130,Santa Cruz de Boedo
131,Santervás de la Vega
132,Santibáñez de Ecla
133,Santibáñez de la Peña
134,Santoyo
135,"Serna, La"
136,Soto de Cerrato
137,Sotobañado y Priorato
138,Tabanera de Cerrato
139,Tabanera de Valdavia
140,Támara de Campos
141,Tariego de Cerrato
142,Torquemada
143,Torremormojón
144,Triollo
145,Valbuena de Pisuerga
146,Valdeolmillos
147,Valderrábano
148,Valde-Ucieza
149,Valle de Cerrato
150,Valle del Retortillo
151,Velilla del Río Carrión
152,Venta de Baños
153,Vertavillo
154,"Vid de Ojeda, La"
155,Villabasta de Valdavia
156,Villacidaler
157,Villaconancio
158,Villada
159,Villaeles de Valdavia
160,Villahán
161,Villaherreros
162,Villalaco
163,Villalba de Guardo
164,Villalcázar de Sirga
165,Villalcón
166,Villalobón
167,Villaluenga de la Vega
168,Villamartín de Campos
169,Villamediana
170,Villameriel
171,Villamoronta
172,Villamuera de la Cueza
173,Villamuriel de Cerrato
174,Villanueva del Rebollar
175,Villanuño de Valdavia
176,Villaprovedo
177,Villarmentero de Campos
178,Villarrabé
179,Villarramiel
180,Villasarracino
181,Villasila de Valdavia
182,Villaturde
183,Villaumbrales
184,Villaviudas
185,Villerías de Campos
186,Villodre
187,Villodrigo
188,Villoldo
189,Villota del Páramo
190,Villovieco
