,NOMBRE
0,Agolada
1,Arbo
2,Baiona
3,Barro
4,Bueu
5,Caldas de Reis
6,Cambados
7,Campo Lameiro
8,Cangas
9,"Cañiza, A"
10,Catoira
11,Cerdedo
12,Cotobade
13,Covelo
14,Crecente
15,Cuntis
16,Dozón
17,"Estrada, A"
18,Forcarei
19,Fornelos de Montes
20,Gondomar
21,"Grove, O"
22,"Guarda, A"
23,"Illa de Arousa, A"
24,Lalín
25,"Lama, A"
26,Marín
27,Meaño
28,Meis
29,Moaña
30,Mondariz
31,Mondariz-Balneario
32,Moraña
33,Mos
34,"Neves, As"
35,Nigrán
36,Oia
37,Pazos de Borbén
38,Poio
39,Ponte Caldelas
40,Ponteareas
41,Pontecesures
42,Pontevedra
43,"Porriño, O"
44,Portas
45,Redondela
46,Ribadumia
47,Rodeiro
48,"Rosal, O"
49,Salceda de Caselas
50,Salvaterra de Miño
51,Sanxenxo
52,Silleda
53,Soutomaior
54,Tomiño
55,Tui
56,Valga
57,Vigo
58,Vila de Cruces
59,Vilaboa
60,Vilagarcía de Arousa
61,Vilanova de Arousa
