,NOMBRE
0,Alegría-Dulantzi
1,Amurrio
2,Añana
3,Aramaio
4,Armiñón
5,Arraia-Maeztu
6,Arrazua-Ubarrundia
7,Artziniega
8,Asparrena
9,Ayala/Aiara
10,Baños de Ebro/Mañueta
11,Barrundia
12,Berantevilla
13,Bernedo
14,Campezo/Kanpezu
15,Elburgo/Burgelu
16,Elciego
17,Elvillar/Bilar
18,Erriberagoitia/Ribera Alta
19,Harana/Valle de Arana
20,Iruña Oka/Iruña de Oca
21,Iruraiz-Gauna
22,Kripan
23,Kuartango
24,Labastida/Bastida
25,Lagrán
26,Laguardia
27,Lanciego/Lantziego
28,Lantarón
29,Lapuebla de Labarca
30,Laudio/Llodio
31,Legutio
32,Leza
33,Moreda de Álava
34,Navaridas
35,Okondo
36,Oyón-Oion
37,Peñacerrada-Urizaharra
38,Ribera Baja/Erribera Beitia
39,Salvatierra/Agurain
40,Samaniego
41,San Millán/Donemiliaga
42,Urkabustaiz
43,Valdegovía/Gaubea
44,Villabuena de Álava/Eskuernaga
45,Vitoria-Gasteiz
46,Yécora/Iekora
47,Zalduondo
48,Zambrana
49,Zigoitia
50,Zuia
