,NOMBRE
0,Adsubia
1,Agost
2,Agres
3,Aigües
4,Albatera
5,Alcalalí
6,Alcocer de Planes
7,Alcoleja
8,Alcoy/Alcoi
9,Alfafara
10,"Alfàs del Pi, l'"
11,Algorfa
12,Algueña
13,Alicante/Alacant
14,Almoradí
15,Almudaina
16,"Alqueria d'Asnar, l'"
17,Altea
18,Aspe
19,Balones
20,Banyeres de Mariola
21,Benasau
22,Beneixama
23,Benejúzar
24,Benferri
25,Beniarbeig
26,Beniardá
27,Beniarrés
28,Benidoleig
29,Benidorm
30,Benifallim
31,Benifato
32,Benigembla
33,Benijófar
34,Benilloba
35,Benillup
36,Benimantell
37,Benimarfull
38,Benimassot
39,Benimeli
40,Benissa
41,"Benitachell/Poble Nou de Benitatxell, el"
42,Biar
43,Bigastro
44,Bolulla
45,Busot
46,Callosa de Segura
47,Callosa d'En Sarrià
48,Calp
49,"Campello, el"
50,"Campo de Mirra/Camp de Mirra, el"
51,Cañada
52,Castalla
53,Castell de Castells
54,"Castell de Guadalest, el"
55,Catral
56,Cocentaina
57,Confrides
58,Cox
59,Crevillent
60,Daya Nueva
61,Daya Vieja
62,Dénia
63,Dolores
64,Elche/Elx
65,Elda
66,Facheca
67,Famorca
68,Finestrat
69,"Fondó de les Neus, el/Hondón de las Nieves"
70,Formentera del Segura
71,Gaianes
72,Gata de Gorgos
73,Gorga
74,Granja de Rocamora
75,Guardamar del Segura
76,Hondón de los Frailes
77,Ibi
78,Jacarilla
79,Jávea/Xàbia
80,Jijona/Xixona
81,Llíber
82,"Lorcha/Orxa, l'"
83,Millena
84,Monforte del Cid
85,Monóvar/Monòver
86,"Montesinos, Los"
87,Murla
88,Muro de Alcoy
89,Mutxamel
90,Novelda
91,"Nucia, la"
92,Ondara
93,Onil
94,Orba
95,Orihuela
96,Orxeta
97,Parcent
98,Pedreguer
99,Pego
100,Penàguila
101,Petrer
102,Pilar de la Horadada
103,"Pinós, el/Pinoso"
104,Planes
105,"Poblets, els"
106,Polop
107,Quatretondeta
108,Rafal
109,"Ràfol d'Almúnia, el"
110,Redován
111,Relleu
112,Rojales
113,"Romana, la"
114,Sagra
115,Salinas
116,San Fulgencio
117,San Isidro
118,San Miguel de Salinas
119,San Vicente del Raspeig/Sant Vicent del Raspeig
120,Sanet y Negrals
121,Sant Joan d'Alacant
122,Santa Pola
123,Sax
124,Sella
125,Senija
126,Tàrbena
127,Teulada
128,Tibi
129,Tollos
130,Tormos
131,"Torremanzanas/Torre de les Maçanes, la"
132,Torrevieja
133,"Vall d'Alcalà, la"
134,Vall de Gallinera
135,"Vall de Laguar, la"
136,"Vall d'Ebo, la"
137,"Verger, el"
138,"Villajoyosa/Vila Joiosa, la"
139,Villena
140,Xaló
