,NOMBRE
0,Acedera
1,Aceuchal
2,Ahillones
3,Alange
4,"Albuera, La"
5,Alburquerque
6,Alconchel
7,Alconera
8,Aljucén
9,Almendral
10,Almendralejo
11,Arroyo de San Serván
12,Atalaya
13,Azuaga
14,Badajoz
15,Barcarrota
16,Baterno
17,Benquerencia de la Serena
18,Berlanga
19,Bienvenida
20,Bodonal de la Sierra
21,Burguillos del Cerro
22,Cabeza del Buey
23,Cabeza la Vaca
24,Calamonte
25,Calera de León
26,Calzadilla de los Barros
27,Campanario
28,Campillo de Llerena
29,Capilla
30,Carmonita
31,"Carrascalejo, El"
32,Casas de Don Pedro
33,Casas de Reina
34,Castilblanco
35,Castuera
36,Cheles
37,"Codosera, La"
38,Cordobilla de Lácara
39,"Coronada, La"
40,Corte de Peleas
41,Cristina
42,Don Álvaro
43,Don Benito
44,Entrín Bajo
45,Esparragalejo
46,Esparragosa de la Serena
47,Esparragosa de Lares
48,Feria
49,Fregenal de la Sierra
50,Fuenlabrada de los Montes
51,Fuente de Cantos
52,Fuente del Arco
53,Fuente del Maestre
54,Fuentes de León
55,Garbayuela
56,Garlitos
57,"Garrovilla, La"
58,Granja de Torrehermosa
59,Guareña
60,"Haba, La"
61,Helechosa de los Montes
62,Herrera del Duque
63,Higuera de la Serena
64,Higuera de Llerena
65,Higuera de Vargas
66,Higuera la Real
67,Hinojosa del Valle
68,Hornachos
69,Jerez de los Caballeros
70,"Lapa, La"
71,Llera
72,Llerena
73,Lobón
74,Magacela
75,Maguilla
76,Malcocinado
77,Malpartida de la Serena
78,Manchita
79,Medellín
80,Medina de las Torres
81,Mengabril
82,Mérida
83,Mirandilla
84,Monesterio
85,Montemolín
86,Monterrubio de la Serena
87,Montijo
88,"Morera, La"
89,"Nava de Santiago, La"
90,Navalvillar de Pela
91,Nogales
92,Oliva de la Frontera
93,Oliva de Mérida
94,Olivenza
95,Orellana de la Sierra
96,Orellana la Vieja
97,Palomas
98,"Parra, La"
99,Peñalsordo
100,Peraleda del Zaucejo
101,Puebla de Alcocer
102,Puebla de la Calzada
103,Puebla de la Reina
104,Puebla de Obando
105,Puebla de Sancho Pérez
106,Puebla del Maestre
107,Puebla del Prior
108,Pueblonuevo del Guadiana
109,Quintana de la Serena
110,Reina
111,Rena
112,Retamal de Llerena
113,Ribera del Fresno
114,Risco
115,"Roca de la Sierra, La"
116,Salvaleón
117,Salvatierra de los Barros
118,San Pedro de Mérida
119,San Vicente de Alcántara
120,Sancti-Spíritus
121,Santa Amalia
122,Santa Marta
123,"Santos de Maimona, Los"
124,Segura de León
125,Siruela
126,Solana de los Barros
127,Talarrubias
128,Talavera la Real
129,Táliga
130,Tamurejo
131,Torre de Miguel Sesmero
132,Torremayor
133,Torremejía
134,Trasierra
135,Trujillanos
136,Usagre
137,Valdecaballeros
138,Valdelacalzada
139,Valdetorres
140,Valencia de las Torres
141,Valencia del Mombuey
142,Valencia del Ventoso
143,Valle de la Serena
144,Valle de Matamoros
145,Valle de Santa Ana
146,Valverde de Burguillos
147,Valverde de Leganés
148,Valverde de Llerena
149,Valverde de Mérida
150,Villafranca de los Barros
151,Villagarcía de la Torre
152,Villagonzalo
153,Villalba de los Barros
154,Villanueva de la Serena
155,Villanueva del Fresno
156,Villar de Rena
157,Villar del Rey
158,Villarta de los Montes
159,Zafra
160,Zahínos
161,Zalamea de la Serena
162,"Zarza, La"
163,Zarza-Capilla
