,NOMBRE
0,Abrera
1,Aguilar de Segarra
2,Aiguafreda
3,Alella
4,Alpens
5,"Ametlla del Vallès, L'"
6,Arenys de Mar
7,Arenys de Munt
8,Argençola
9,Argentona
10,Artés
11,Avià
12,Avinyó
13,Avinyonet del Penedès
14,Badalona
15,Badia del Vallès
16,Bagà
17,Balenyà
18,Balsareny
19,Barberà del Vallès
20,Barcelona
21,Begues
22,Bellprat
23,Berga
24,Bigues i Riells
25,Borredà
26,"Bruc, El"
27,"Brull, El"
28,"Cabanyes, Les"
29,Cabrera d'Anoia
30,Cabrera de Mar
31,Cabrils
32,Calaf
33,Calders
34,Caldes de Montbui
35,Caldes d'Estrac
36,Calella
37,Calldetenes
38,Callús
39,Calonge de Segarra
40,Campins
41,Canet de Mar
42,Canovelles
43,Cànoves i Samalús
44,Canyelles
45,Capellades
46,Capolat
47,Cardedeu
48,Cardona
49,Carme
50,Casserres
51,Castell de l'Areny
52,Castellar de n'Hug
53,Castellar del Riu
54,Castellar del Vallès
55,Castellbell i el Vilar
56,Castellbisbal
57,Castellcir
58,Castelldefels
59,Castellet i la Gornal
60,Castellfollit de Riubregós
61,Castellfollit del Boix
62,Castellgalí
63,Castellnou de Bages
64,Castellolí
65,Castellterçol
66,Castellví de la Marca
67,Castellví de Rosanes
68,Centelles
69,Cercs
70,Cerdanyola del Vallès
71,Cervelló
72,Collbató
73,Collsuspina
74,Copons
75,Corbera de Llobregat
76,Cornellà de Llobregat
77,Cubelles
78,Dosrius
79,Esparreguera
80,Esplugues de Llobregat
81,"Espunyola, L'"
82,"Estany, L'"
83,Figaró-Montmany
84,Fígols
85,Fogars de la Selva
86,Fogars de Montclús
87,Folgueroles
88,Fonollosa
89,Font-rubí
90,"Franqueses del Vallès, Les"
91,Gaià
92,Gallifa
93,"Garriga, La"
94,Gavà
95,Gelida
96,Gironella
97,Gisclareny
98,"Granada, La"
99,Granera
100,Granollers
101,Gualba
102,Guardiola de Berguedà
103,Gurb
104,"Hospitalet de Llobregat, L'"
105,"Hostalets de Pierola, Els"
106,Igualada
107,Jorba
108,"Llacuna, La"
109,"Llagosta, La"
110,Lliçà d'Amunt
111,Lliçà de Vall
112,Llinars del Vallès
113,Lluçà
114,Malgrat de Mar
115,Malla
116,Manlleu
117,Manresa
118,Marganell
119,Martorell
120,Martorelles
121,"Masies de Roda, Les"
122,"Masies de Voltregà, Les"
123,"Masnou, El"
124,Masquefa
125,Matadepera
126,Mataró
127,Mediona
128,Moià
129,Molins de Rei
130,Mollet del Vallès
131,Monistrol de Calders
132,Monistrol de Montserrat
133,Montcada i Reixac
134,Montclar
135,Montesquiu
136,Montgat
137,Montmajor
138,Montmaneu
139,Montmeló
140,Montornès del Vallès
141,Montseny
142,Muntanyola
143,Mura
144,Navarcles
145,Navàs
146,"Nou de Berguedà, La"
147,Òdena
