,NOMBRE
0,Abadía
1,Abertura
2,Acebo
3,Acehúche
4,Aceituna
5,Ahigal
6,Alagón del Río
7,Albalá
8,Alcántara
9,Alcollarín
10,Alcuéscar
11,Aldea del Cano
12,"Aldea del Obispo, La"
13,Aldeacentenera
14,Aldeanueva de la Vera
15,Aldeanueva del Camino
16,Aldehuela de Jerte
17,Alía
18,Aliseda
19,Almaraz
20,Almoharín
21,Arroyo de la Luz
22,Arroyomolinos
23,Arroyomolinos de la Vera
24,Baños de Montemayor
25,Barrado
26,Belvís de Monroy
27,Benquerencia
28,Berrocalejo
29,Berzocana
30,Bohonal de Ibor
31,Botija
32,Brozas
33,Cabañas del Castillo
34,Cabezabellosa
35,Cabezuela del Valle
36,Cabrero
37,Cáceres
38,Cachorrilla
39,Cadalso
40,Calzadilla
41,Caminomorisco
42,Campillo de Deleitosa
43,Campo Lugar
44,Cañamero
45,Cañaveral
46,Carbajo
47,Carcaboso
48,Carrascalejo
49,Casar de Cáceres
50,Casar de Palomero
51,Casares de las Hurdes
52,Casas de Don Antonio
53,Casas de Don Gómez
54,Casas de Millán
55,Casas de Miravete
56,Casas del Castañar
57,Casas del Monte
58,Casatejada
59,Casillas de Coria
60,Castañar de Ibor
61,Ceclavín
62,Cedillo
63,Cerezo
64,Cilleros
65,Collado
66,Conquista de la Sierra
67,Coria
68,Cuacos de Yuste
69,"Cumbre, La"
70,Deleitosa
71,Descargamaría
72,Eljas
73,Escurial
74,Fresnedoso de Ibor
75,Galisteo
76,Garciaz
77,"Garganta, La"
78,Garganta la Olla
79,Gargantilla
80,Gargüera
81,Garrovillas de Alconétar
82,Garvín
83,Gata
84,"Gordo, El"
85,"Granja, La"
86,Guadalupe
87,Guijo de Coria
88,Guijo de Galisteo
89,Guijo de Granadilla
90,Guijo de Santa Bárbara
91,Herguijuela
92,Hernán-Pérez
93,Herrera de Alcántara
94,Herreruela
95,Hervás
96,Higuera
97,Hinojal
98,Holguera
99,Hoyos
100,Huélaga
101,Ibahernando
102,Jaraicejo
103,Jaraíz de la Vera
104,Jarandilla de la Vera
105,Jarilla
106,Jerte
107,Ladrillar
108,Logrosán
109,Losar de la Vera
110,Madrigal de la Vera
111,Madrigalejo
112,Madroñera
113,Majadas
114,Malpartida de Cáceres
115,Malpartida de Plasencia
116,Marchagaz
117,Mata de Alcántara
118,Membrío
119,Mesas de Ibor
120,Miajadas
121,Millanes
122,Mirabel
123,Mohedas de Granadilla
124,Monroy
125,Montánchez
126,Montehermoso
127,Moraleja
128,Morcillo
129,Navaconcejo
130,Navalmoral de la Mata
131,Navalvillar de Ibor
132,Navas del Madroño
133,Navezuelas
134,Nuñomoral
135,Oliva de Plasencia
136,Palomero
137,Pasarón de la Vera
138,Pedroso de Acim
139,Peraleda de la Mata
140,Peraleda de San Román
141,Perales del Puerto
142,Pescueza
143,"Pesga, La"
144,Piedras Albas
145,Pinofranqueado
146,Piornal
147,Plasencia
148,Plasenzuela
149,Portaje
150,Portezuelo
151,Pozuelo de Zarzón
152,Puerto de Santa Cruz
153,Rebollar
154,Riolobos
155,Robledillo de Gata
156,Robledillo de la Vera
157,Robledillo de Trujillo
158,Robledollano
159,Romangordo
160,Rosalejo
161,Ruanes
162,Salorino
163,Salvatierra de Santiago
164,San Martín de Trevejo
165,Santa Ana
166,Santa Cruz de la Sierra
167,Santa Cruz de Paniagua
168,Santa Marta de Magasca
169,Santiago de Alcántara
170,Santiago del Campo
171,Santibáñez el Alto
172,Santibáñez el Bajo
173,Saucedilla
174,Segura de Toro
175,Serradilla
176,Serrejón
177,Sierra de Fuentes
178,Talaván
179,Talaveruela de la Vera
180,Talayuela
181,Tejeda de Tiétar
182,Toril
183,Tornavacas
184,"Torno, El"
185,Torre de Don Miguel
186,Torre de Santa María
187,Torrecilla de los Ángeles
188,Torrecillas de la Tiesa
189,Torrejón el Rubio
190,Torrejoncillo
191,Torremenga
192,Torremocha
193,Torreorgaz
194,Torrequemada
195,Trujillo
196,Valdastillas
197,Valdecañas de Tajo
198,Valdefuentes
199,Valdehúncar
200,Valdelacasa de Tajo
201,Valdemorales
202,Valdeobispo
203,Valencia de Alcántara
204,Valverde de la Vera
205,Valverde del Fresno
206,Vegaviana
207,Viandar de la Vera
208,Villa del Campo
209,Villa del Rey
210,Villamesías
211,Villamiel
212,Villanueva de la Sierra
213,Villanueva de la Vera
214,Villar de Plasencia
215,Villar del Pedroso
216,Villasbuenas de Gata
217,Zarza de Granadilla
218,Zarza de Montánchez
219,Zarza la Mayor
220,Zorita
