,NOMBRE
0,Alfoz de Lloredo
1,Ampuero
2,Anievas
3,Arenas de Iguña
4,Argoños
5,Arnuero
6,Arredondo
7,"Astillero, El"
8,Bárcena de Cicero
9,Bárcena de Pie de Concha
10,Bareyo
11,Cabezón de la Sal
12,Cabezón de Liébana
13,Cabuérniga
14,Camaleño
15,Camargo
16,Campoo de Enmedio
17,Campoo de Yuso
18,Cartes
19,Castañeda
20,Castro-Urdiales
21,Cieza
22,Cillorigo de Liébana
23,Colindres
24,Comillas
25,"Corrales de Buelna, Los"
26,Corvera de Toranzo
27,Entrambasaguas
28,Escalante
29,Guriezo
30,Hazas de Cesto
31,Hermandad de Campoo de Suso
32,Herrerías
33,Lamasón
34,Laredo
35,Liendo
36,Liérganes
37,Limpias
38,Luena
39,Marina de Cudeyo
40,Mazcuerras
41,Medio Cudeyo
42,Meruelo
43,Miengo
44,Miera
45,Molledo
46,Noja
47,Penagos
48,Peñarrubia
49,Pesaguero
50,Pesquera
51,Piélagos
52,Polaciones
53,Polanco
54,Potes
55,Puente Viesgo
56,Ramales de la Victoria
57,Rasines
58,Reinosa
59,Reocín
60,Ribamontán al Mar
61,Ribamontán al Monte
62,Rionansa
63,Riotuerto
64,"Rozas de Valdearroyo, Las"
65,Ruente
66,Ruesga
67,Ruiloba
68,San Felices de Buelna
69,San Miguel de Aguayo
70,San Pedro del Romeral
71,San Roque de Riomiera
72,San Vicente de la Barquera
73,Santa Cruz de Bezana
74,Santa María de Cayón
75,Santander
76,Santillana del Mar
77,Santiurde de Reinosa
78,Santiurde de Toranzo
79,Santoña
80,Saro
81,Selaya
82,Soba
83,Solórzano
84,Suances
85,"Tojos, Los"
86,Torrelavega
87,Tresviso
88,Tudanca
89,Udías
90,Val de San Vicente
91,Valdáliga
92,Valdeolea
93,Valdeprado del Río
94,Valderredible
95,Valle de Villaverde
96,Vega de Liébana
97,Vega de Pas
98,Villacarriedo
99,Villaescusa
100,Villafufre
101,Voto
