,NOMBRE
0,Aín
1,Albocàsser
2,Alcalà de Xivert
3,"Alcora, l'"
4,Alcudia de Veo
5,Alfondeguilla
6,Algimia de Almonacid
7,Almazora/Almassora
8,Almedíjar
9,Almenara
10,Alquerías del Niño Perdido
11,Altura
12,Arañuel
13,Ares del Maestrat
14,Argelita
15,Artana
16,Atzeneta del Maestrat
17,Ayódar
18,Azuébar
19,Barracas
20,Bejís
21,Benafer
22,Benafigos
23,Benasal
24,Benicarló
25,Benicasim/Benicàssim
26,Benlloch
27,Betxí
28,Borriana/Burriana
29,Borriol
30,Cabanes
31,Càlig
32,Canet lo Roig
33,Castell de Cabres
34,Castellfort
35,Castellnovo
36,Castellón de la Plana/Castelló de la Plana
37,Castillo de Villamalefa
38,Catí
39,Caudiel
40,Cervera del Maestre
41,Chert/Xert
42,Chilches/Xilxes
43,Chodos/Xodos
44,Chóvar
45,Cinctorres
46,Cirat
47,Cortes de Arenoso
48,Costur
49,"Coves de Vinromà, les"
50,Culla
51,Eslida
52,Espadilla
53,Fanzara
54,Figueroles
55,Forcall
56,Fuente la Reina
57,Fuentes de Ayódar
58,Gaibiel
59,Geldo
60,Herbés
61,Higueras
62,"Jana, la"
63,Jérica
64,"Llosa, la"
65,Lucena del Cid
66,Ludiente
67,"Mata de Morella, la"
68,Matet
69,Moncofa
70,Montán
71,Montanejos
72,Morella
73,Navajas
74,Nules
75,Olocau del Rey
76,Onda
77,Oropesa del Mar/Orpesa
78,Palanques
79,Pavías
80,Peníscola/Peñíscola
81,Pina de Montalgrao
82,"Pobla de Benifassà, la"
83,"Pobla Tornesa, la"
84,Portell de Morella
85,Puebla de Arenoso
86,Ribesalbes
87,Rossell
88,Sacañet
89,"Salzadella, la"
90,San Rafael del Río
91,Sant Joan de Moró
92,Sant Jordi/San Jorge
93,Sant Mateu
94,Santa Magdalena de Pulpis
95,Sarratella
96,Segorbe
97,Sierra Engarcerán
98,Soneja
99,Sot de Ferrer
100,Sueras/Suera
101,Tales
102,Teresa
103,Tírig
104,Todolella
105,Toga
106,Torás
107,"Toro, El"
108,Torralba del Pinar
109,"Torre d'En Besora, la"
110,"Torre d'en Doménec, la"
111,Torreblanca
112,Torrechiva
113,Traiguera
114,"Useras/Useres, les"
115,Vall d'Alba
116,Vall de Almonacid
117,"Vall d'Uixó, la"
118,Vallat
119,Vallibona
120,Vilafamés
121,Vilanova d'Alcolea
122,Vilar de Canes
123,Vila-real
124,"Vilavella, la"
125,Villafranca del Cid/Vilafranca
126,Villahermosa del Río
127,Villamalur
128,Villanueva de Viver
129,Villores
130,Vinaròs
131,Vistabella del Maestrazgo
132,Viver
133,Zorita del Maestrazgo
134,Zucaina
