,NOMBRE
0,Abenójar
1,Agudo
2,Alamillo
3,Albaladejo
4,Alcázar de San Juan
5,Alcoba
6,Alcolea de Calatrava
7,Alcubillas
8,Aldea del Rey
9,Alhambra
10,Almadén
11,Almadenejos
12,Almagro
13,Almedina
14,Almodóvar del Campo
15,Almuradiel
16,Anchuras
17,Arenales de San Gregorio
18,Arenas de San Juan
19,Argamasilla de Alba
20,Argamasilla de Calatrava
21,Arroba de los Montes
22,Ballesteros de Calatrava
23,Bolaños de Calatrava
24,Brazatortas
25,Cabezarados
26,Cabezarrubias del Puerto
27,Calzada de Calatrava
28,Campo de Criptana
29,Cañada de Calatrava
30,Caracuel de Calatrava
31,Carrión de Calatrava
32,Carrizosa
33,Castellar de Santiago
34,Chillón
35,Ciudad Real
36,Corral de Calatrava
37,"Cortijos, Los"
38,Cózar
39,Daimiel
40,Fernán Caballero
41,Fontanarejo
42,Fuencaliente
43,Fuenllana
44,Fuente el Fresno
45,Granátula de Calatrava
46,Guadalmez
47,Herencia
48,Hinojosas de Calatrava
49,Horcajo de los Montes
50,"Labores, Las"
51,Llanos del Caudillo
52,Luciana
53,Malagón
54,Manzanares
55,Membrilla
56,Mestanza
57,Miguelturra
58,Montiel
59,Moral de Calatrava
60,Navalpino
61,Navas de Estena
62,Pedro Muñoz
63,Picón
64,Piedrabuena
65,Poblete
66,Porzuna
67,Pozuelo de Calatrava
68,"Pozuelos de Calatrava, Los"
69,Puebla de Don Rodrigo
70,Puebla del Príncipe
71,Puerto Lápice
72,Puertollano
73,Retuerta del Bullaque
74,"Robledo, El"
75,Ruidera
76,Saceruela
77,San Carlos del Valle
78,San Lorenzo de Calatrava
79,Santa Cruz de los Cáñamos
80,Santa Cruz de Mudela
81,Socuéllamos
82,"Solana, La"
83,Solana del Pino
84,Terrinches
85,Tomelloso
86,Torralba de Calatrava
87,Torre de Juan Abad
88,Torrenueva
89,Valdemanco del Esteras
90,Valdepeñas
91,Valenzuela de Calatrava
92,Villahermosa
93,Villamanrique
94,Villamayor de Calatrava
95,Villanueva de la Fuente
96,Villanueva de los Infantes
97,Villanueva de San Carlos
98,Villar del Pozo
99,Villarrubia de los Ojos
100,Villarta de San Juan
101,Viso del Marqués
