,NOMBRE
0,Abia de la Obispalía
1,"Acebrón, El"
2,Alarcón
3,Albaladejo del Cuende
4,Albalate de las Nogueras
5,Albendea
6,"Alberca de Záncara, La"
7,Alcalá de la Vega
8,Alcantud
9,Alcázar del Rey
10,Alcohujate
11,Alconchel de la Estrella
12,Algarra
13,Aliaguilla
14,"Almarcha, La"
15,Almendros
16,Almodóvar del Pinar
17,Almonacid del Marquesado
18,Altarejos
19,Arandilla del Arroyo
20,Arcas del Villar
21,Arcos de la Sierra
22,Arguisuelas
23,Arrancacepas
24,Atalaya del Cañavate
25,Barajas de Melo
26,Barchín del Hoyo
27,Bascuñana de San Pedro
28,Beamud
29,Belinchón
30,Belmonte
31,Belmontejo
32,Beteta
33,Boniches
34,Buciegas
35,Buenache de Alarcón
36,Buenache de la Sierra
37,Buendía
38,Campillo de Altobuey
39,Campillos-Paravientos
40,Campillos-Sierra
41,Campos del Paraíso
42,Canalejas del Arroyo
43,Cañada del Hoyo
44,Cañada Juncosa
45,Cañamares
46,"Cañavate, El"
47,Cañaveras
48,Cañaveruelas
49,Cañete
50,Cañizares
51,Carboneras de Guadazaón
52,Cardenete
53,Carrascosa
54,Carrascosa de Haro
55,Casas de Benítez
56,Casas de Fernando Alonso
57,Casas de Garcimolina
58,Casas de Guijarro
59,Casas de Haro
60,Casas de los Pinos
61,Casasimarro
62,Castejón
63,Castillejo de Iniesta
64,Castillejo-Sierra
65,Castillo de Garcimuñoz
66,Castillo-Albaráñez
67,Cervera del Llano
68,Chillarón de Cuenca
69,Chumillas
70,"Cierva, La"
71,Cuenca
72,Cueva del Hierro
73,Enguídanos
74,Fresneda de Altarejos
75,Fresneda de la Sierra
76,"Frontera, La"
77,Fuente de Pedro Naharro
78,Fuentelespino de Haro
79,Fuentelespino de Moya
80,Fuentenava de Jábaga
81,Fuentes
82,Fuertescusa
83,Gabaldón
84,Garaballa
85,Gascueña
86,Graja de Campalbo
87,Graja de Iniesta
88,Henarejos
89,"Herrumblar, El"
90,"Hinojosa, La"
91,"Hinojosos, Los"
92,"Hito, El"
93,Honrubia
94,Hontanaya
95,Hontecillas
96,Horcajo de Santiago
97,Huélamo
98,Huelves
99,Huérguina
100,Huerta de la Obispalía
101,Huerta del Marquesado
102,Huete
103,Iniesta
104,Laguna del Marquesado
105,Lagunaseca
106,Landete
107,Ledaña
108,Leganiel
109,"Majadas, Las"
110,Mariana
111,Masegosa
112,"Mesas, Las"
113,Minglanilla
114,Mira
115,Monreal del Llano
116,Montalbanejo
117,Montalbo
118,Monteagudo de las Salinas
119,Mota de Altarejos
120,Mota del Cuervo
121,Motilla del Palancar
122,Moya
123,Narboneta
124,Olivares de Júcar
125,Olmeda de la Cuesta
126,Olmeda del Rey
127,Olmedilla de Alarcón
128,Olmedilla de Eliz
129,Osa de la Vega
130,Pajarón
131,Pajaroncillo
132,Palomares del Campo
133,Palomera
134,Paracuellos
135,Paredes
136,"Parra de las Vegas, La"
137,"Pedernoso, El"
138,"Pedroñeras, Las"
139,"Peral, El"
140,"Peraleja, La"
141,"Pesquera, La"
142,"Picazo, El"
143,Pinarejo
144,Pineda de Gigüela
145,Piqueras del Castillo
146,Portalrubio de Guadamejud
147,Portilla
148,Poyatos
149,Pozoamargo
150,Pozorrubielos de la Mancha
151,Pozorrubio
152,"Pozuelo, El"
153,Priego
154,"Provencio, El"
155,Puebla de Almenara
156,Puebla del Salvador
157,Quintanar del Rey
158,Rada de Haro
159,Reíllo
160,Rozalén del Monte
161,Saceda-Trasierra
162,Saelices
163,Salinas del Manzano
164,Salmeroncillos
165,Salvacañete
166,San Clemente
167,San Lorenzo de la Parrilla
168,San Martín de Boniches
169,San Pedro Palmiches
170,Santa Cruz de Moya
171,Santa María de los Llanos
172,Santa María del Campo Rus
173,Santa María del Val
174,Sisante
175,Solera de Gabaldón
176,Sotorribas
177,Talayuelas
178,Tarancón
179,Tébar
180,Tejadillos
181,Tinajas
182,Torralba
183,Torrejoncillo del Rey
184,Torrubia del Campo
185,Torrubia del Castillo
186,Tragacete
187,Tresjuncos
188,Tribaldos
189,Uclés
190,Uña
191,"Valdecolmenas, Los"
192,Valdemeca
193,Valdemorillo de la Sierra
194,Valdemoro-Sierra
195,Valdeolivas
196,Valdetórtola
197,"Valeras, Las"
198,Valhermoso de la Fuente
199,"Valle de Altomira, El"
200,Valsalobre
201,Valverde de Júcar
202,Valverdejo
203,Vara de Rey
204,Vega del Codorno
205,Vellisca
206,Villaconejos de Trabaque
207,Villaescusa de Haro
208,Villagarcía del Llano
209,Villalba de la Sierra
210,Villalba del Rey
211,Villalgordo del Marquesado
212,Villalpardo
213,Villamayor de Santiago
214,Villanueva de Guadamejud
215,Villanueva de la Jara
216,Villar de Cañas
217,Villar de Domingo García
218,Villar de la Encina
219,Villar de Olalla
220,Villar del Humo
221,Villar del Infantado
222,Villar y Velasco
223,Villarejo de Fuentes
224,Villarejo de la Peñuela
225,Villarejo-Periesteban
226,Villares del Saz
227,Villarrubio
228,Villarta
229,Villas de la Ventosa
230,Villaverde y Pasaconsol
231,Víllora
232,Vindel
233,Yémeda
234,Zafra de Záncara
235,Zafrilla
236,Zarza de Tajo
237,Zarzuela
