,NOMBRE
0,Abánades
1,Ablanque
2,Adobes
3,Alaminos
4,Alarilla
5,Albalate de Zorita
6,Albares
7,Albendiego
8,Alcocer
9,Alcolea de las Peñas
10,Alcolea del Pinar
11,Alcoroches
12,Aldeanueva de Guadalajara
13,Algar de Mesa
14,Algora
15,Alhóndiga
16,Alique
17,Almadrones
18,Almoguera
19,Almonacid de Zorita
20,Alocén
21,Alovera
22,Alustante
23,Angón
24,Anguita
25,Anquela del Ducado
26,Anquela del Pedregal
27,Aranzueque
28,Arbancón
29,Arbeteta
30,Argecilla
31,Armallones
32,Armuña de Tajuña
33,Arroyo de las Fraguas
34,Atanzón
35,Atienza
36,Auñón
37,Azuqueca de Henares
38,Baides
39,Baños de Tajo
40,Bañuelos
41,Barriopedro
42,Berninches
43,"Bodera, La"
44,Brihuega
45,Budia
46,Bujalaro
47,Bustares
48,Cabanillas del Campo
49,Campillo de Dueñas
50,Campillo de Ranas
51,Campisábalos
52,Canredondo
53,Cantalojas
54,Cañizar
55,"Cardoso de la Sierra, El"
56,Casa de Uceda
57,"Casar, El"
58,Casas de San Galindo
59,Caspueñas
60,Castejón de Henares
61,Castellar de la Muela
62,Castilforte
63,Castilnuevo
64,Cendejas de Enmedio
65,Cendejas de la Torre
66,Centenera
67,Checa
68,Chequilla
69,Chillarón del Rey
70,Chiloeches
71,Cifuentes
72,Cincovillas
73,Ciruelas
74,Ciruelos del Pinar
75,Cobeta
76,Cogollor
77,Cogolludo
78,Condemios de Abajo
79,Condemios de Arriba
80,Congostrina
81,Copernal
82,Corduente
83,"Cubillo de Uceda, El"
84,Driebes
85,Durón
86,Embid
87,Escamilla
88,Escariche
89,Escopete
90,Espinosa de Henares
91,Esplegares
92,Establés
93,Estriégana
94,Fontanar
95,Fuembellida
96,Fuencemillán
97,Fuentelahiguera de Albatages
98,Fuentelencina
99,Fuentelsaz
100,Fuentelviejo
101,Fuentenovilla
102,Gajanejos
103,Galápagos
104,Galve de Sorbe
105,Gascueña de Bornova
106,Guadalajara
107,Henche
108,Heras de Ayuso
109,Herrería
110,Hiendelaencina
111,Hijes
112,Hita
113,Hombrados
114,Hontoba
115,Horche
116,Hortezuela de Océn
117,"Huerce, La"
118,Huérmeces del Cerro
119,Huertahernando
120,Hueva
121,Humanes
122,Illana
123,Iniéstola
124,"Inviernas, Las"
125,Irueste
126,Jadraque
127,Jirueque
128,Ledanca
129,Loranca de Tajuña
130,Lupiana
131,Luzaga
132,Luzón
133,Majaelrayo
134,Málaga del Fresno
135,Malaguilla
136,Mandayona
137,Mantiel
138,Maranchón
139,Marchamalo
140,Masegoso de Tajuña
141,Matarrubia
142,Matillas
143,Mazarete
144,Mazuecos
145,Medranda
146,Megina
147,Membrillera
148,Miedes de Atienza
149,"Mierla, La"
150,Millana
151,Milmarcos
152,"Miñosa, La"
153,Mirabueno
154,Miralrío
155,Mochales
156,Mohernando
157,Molina de Aragón
158,Monasterio
159,Mondéjar
160,Montarrón
161,Moratilla de los Meleros
162,Morenilla
163,Muduex
164,"Navas de Jadraque, Las"
165,Negredo
166,Ocentejo
167,"Olivar, El"
168,Olmeda de Cobeta
169,"Olmeda de Jadraque, La"
170,"Ordial, El"
171,Orea
172,Pálmaces de Jadraque
173,Pardos
174,Paredes de Sigüenza
175,Pareja
176,Pastrana
177,"Pedregal, El"
178,Peñalén
179,Peñalver
180,Peralejos de las Truchas
181,Peralveche
182,Pinilla de Jadraque
183,Pinilla de Molina
184,Pioz
185,Piqueras
186,"Pobo de Dueñas, El"
187,Poveda de la Sierra
188,Pozo de Almoguera
189,Pozo de Guadalajara
190,Prádena de Atienza
191,Prados Redondos
192,Puebla de Beleña
193,Puebla de Valles
194,Quer
195,Rebollosa de Jadraque
196,"Recuenco, El"
197,Renera
198,Retiendas
199,Riba de Saelices
200,Rillo de Gallo
201,Riofrío del Llano
202,Robledillo de Mohernando
203,Robledo de Corpes
204,Romanillos de Atienza
205,Romanones
206,Rueda de la Sierra
207,Sacecorbo
208,Sacedón
209,Saelices de la Sal
210,Salmerón
211,San Andrés del Congosto
212,San Andrés del Rey
213,Santiuste
214,Saúca
215,Sayatón
216,Selas
217,Semillas
218,Setiles
219,Sienes
220,Sigüenza
221,Solanillos del Extremo
222,Somolinos
223,"Sotillo, El"
224,Sotodosos
225,Tamajón
226,Taragudo
227,Taravilla
228,Tartanedo
229,Tendilla
230,Terzaga
231,Tierzo
232,"Toba, La"
233,Tordellego
234,Tordelrábano
235,Tordesilos
236,Torija
237,Torre del Burgo
238,Torrecuadrada de Molina
239,Torrecuadradilla
240,Torrejón del Rey
241,Torremocha de Jadraque
242,Torremocha del Campo
243,Torremocha del Pinar
244,Torremochuela
245,Torrubia
246,Tórtola de Henares
247,Tortuera
248,Tortuero
249,Traíd
250,Trijueque
251,Trillo
252,Uceda
253,Ujados
254,Utande
255,Valdarachas
256,Valdearenas
257,Valdeavellano
258,Valdeaveruelo
259,Valdeconcha
260,Valdegrudas
261,Valdelcubo
262,Valdenuño Fernández
263,Valdepeñas de la Sierra
264,Valderrebollo
265,Valdesotos
266,Valfermoso de Tajuña
267,Valhermoso
268,Valtablado del Río
269,Valverde de los Arroyos
270,Viana de Jadraque
271,Villanueva de Alcorón
272,Villanueva de Argecilla
273,Villanueva de la Torre
274,Villares de Jadraque
275,Villaseca de Henares
276,Villaseca de Uceda
277,Villel de Mesa
