,NOMBRE
0,Abiego
1,Abizanda
2,Adahuesca
3,Agüero
4,Aínsa-Sobrarbe
5,Aisa
6,Albalate de Cinca
7,Albalatillo
8,Albelda
9,Albero Alto
10,Albero Bajo
11,Alberuela de Tubo
12,Alcalá de Gurrea
13,Alcalá del Obispo
14,Alcampell
15,Alcolea de Cinca
16,Alcubierre
17,Alerre
18,Alfántega
19,Almudévar
20,Almunia de San Juan
21,Almuniente
22,Alquézar
23,Altorricón
24,Angüés
25,Ansó
26,Antillón
27,Aragüés del Puerto
28,Arén
29,Argavieso
30,Arguis
31,Ayerbe
32,Azanuy-Alins
33,Azara
34,Azlor
35,Baélls
36,Bailo
37,Baldellou
38,Ballobar
39,Banastás
40,Barbastro
41,Barbués
42,Barbuñales
43,Bárcabo
44,Belver de Cinca
45,Benabarre
46,Benasque
47,Berbegal
48,Bielsa
49,Bierge
50,Biescas
51,Binaced
52,Binéfar
53,Bisaurri
54,Biscarrués
55,Blecua y Torres
56,Boltaña
57,Bonansa
58,Borau
59,Broto
60,Caldearenas
61,Campo
62,Camporrélls
63,Canal de Berdún
64,Candasnos
65,Canfranc
66,Capdesaso
67,Capella
68,Casbas de Huesca
69,Castejón de Monegros
70,Castejón de Sos
71,Castejón del Puente
72,Castelflorite
73,Castiello de Jaca
74,Castigaleu
75,Castillazuelo
76,Castillonroy
77,Chalamera
78,Chía
79,Chimillas
80,Colungo
81,Esplús
82,Estada
83,Estadilla
84,Estopiñán del Castillo
85,Fago
86,Fanlo
87,Fiscal
88,Fonz
89,Foradada del Toscar
90,Fraga
91,"Fueva, La"
92,Gistaín
93,"Grado, El"
94,Grañén
95,Graus
96,Gurrea de Gállego
97,Hoz de Jaca
98,Hoz y Costean
99,Huerto
100,Huesca
101,Ibieca
102,Igriés
103,Ilche
104,Isábena
105,Jaca
106,Jasa
107,Labuerda
108,Laluenga
109,Lalueza
110,Lanaja
111,Laperdiguera
112,Lascellas-Ponzano
113,Lascuarre
114,Laspaúles
115,Laspuña
116,Loarre
117,Loporzano
118,Loscorrales
119,Lupiñén-Ortilla
120,Monesma y Cajigar
121,Monflorite-Lascasas
122,Montanuy
123,Monzón
124,Naval
125,Novales
126,Nueno
127,Olvena
128,Ontiñena
129,Osso de Cinca
130,Palo
131,Panticosa
132,Peñalba
133,"Peñas de Riglos, Las"
134,Peralta de Alcofea
135,Peralta de Calasanz
136,Peraltilla
137,Perarrúa
138,Pertusa
139,Piracés
140,Plan
141,Poleñino
142,Pozán de Vero
143,"Puebla de Castro, La"
144,Puente de Montañana
145,Puente la Reina de Jaca
146,Puértolas
147,"Pueyo de Araguás, El"
148,Pueyo de Santa Cruz
149,Quicena
150,Robres
151,Sabiñánigo
152,Sahún
153,Salas Altas
154,Salas Bajas
155,Salillas
156,Sallent de Gállego
157,San Esteban de Litera
158,San Juan de Plan
159,San Miguel del Cinca
160,Sangarrén
161,Santa Cilia
162,Santa Cruz de la Serós
163,Santa María de Dulcis
164,Santaliestra y San Quílez
165,Sariñena
166,Secastilla
167,Seira
168,Sena
169,Senés de Alcubierre
170,Sesa
171,Sesué
172,Siétamo
173,Sopeira
174,"Sotonera, La"
175,Tamarite de Litera
176,Tardienta
177,Tella-Sin
178,Tierz
179,Tolva
180,Torla
181,Torralba de Aragón
182,Torre la Ribera
183,Torrente de Cinca
184,Torres de Alcanadre
185,Torres de Barbués
186,Tramaced
187,Valfarta
188,Valle de Bardají
189,Valle de Hecho
190,Valle de Lierp
191,Velilla de Cinca
192,Vencillón
193,Veracruz
194,Viacamp y Litera
195,Vicién
196,Villanova
197,Villanúa
198,Villanueva de Sigena
199,Yebra de Basa
200,Yésero
201,Zaidín
