,NOMBRE
0,Alaior
1,Alaró
2,Alcúdia
3,Algaida
4,Andratx
5,Ariany
6,Artà
7,Banyalbufar
8,Binissalem
9,Búger
10,Bunyola
11,Calvià
12,Campanet
13,Campos
14,Capdepera
15,"Castell, Es"
16,Ciutadella de Menorca
17,Consell
18,Costitx
19,Deyá
20,Eivissa
21,Escorca
22,Esporles
23,Estellencs
24,Felanitx
25,Ferreries
26,Formentera
27,Fornalutx
28,Inca
29,Lloret de Vistalegre
30,Lloseta
31,Llubí
32,Llucmajor
33,Manacor
34,Mancor de la Vall
35,Maó
36,Maria de la Salut
37,Marratxí
38,"Mercadal, Es"
39,"Migjorn Gran, Es"
40,Montuïri
41,Muro
42,Palma
43,Petra
44,"Pobla, Sa"
45,Pollença
46,Porreres
47,Puigpunyent
48,"Salines, Ses"
49,Sant Antoni de Portmany
50,Sant Joan
51,Sant Joan de Labritja
52,Sant Josep de sa Talaia
53,Sant Llorenç des Cardassar
54,Sant Lluís
55,Santa Eugènia
56,Santa Eulalia del Río
57,Santa Margalida
58,Santa María del Camí
59,Santanyí
60,Selva
61,Sencelles
62,Sineu
63,Sóller
64,Son Servera
65,Valldemossa
66,Vilafranca de Bonany
