,NOMBRE
0,Acebedo
1,Algadefe
2,Alija del Infantado
3,Almanza
4,"Antigua, La"
5,Ardón
6,Arganza
7,Astorga
8,Balboa
9,"Bañeza, La"
10,Barjas
11,"Barrios de Luna, Los"
12,Bembibre
13,Benavides
14,Benuza
15,Bercianos del Páramo
16,Bercianos del Real Camino
17,Berlanga del Bierzo
18,Boca de Huérgano
19,Boñar
20,Borrenes
21,Brazuelo
22,"Burgo Ranero, El"
23,Burón
24,Bustillo del Páramo
25,Cabañas Raras
26,Cabreros del Río
27,Cabrillanes
28,Cacabelos
29,Calzada del Coto
30,Campazas
31,Campo de Villavidel
32,Camponaraya
33,Candín
34,Cármenes
35,Carracedelo
36,Carrizo
37,Carrocera
38,Carucedo
39,Castilfalé
40,Castrillo de Cabrera
41,Castrillo de la Valduerna
42,Castrocalbón
43,Castrocontrigo
44,Castropodame
45,Castrotierra de Valmadrigal
46,Cea
47,Cebanico
48,Cebrones del Río
49,Chozas de Abajo
50,Cimanes de la Vega
51,Cimanes del Tejar
52,Cistierna
53,Congosto
54,Corbillos de los Oteros
55,Corullón
56,Crémenes
57,Cuadros
58,Cubillas de los Oteros
59,Cubillas de Rueda
60,Cubillos del Sil
61,Destriana
62,Encinedo
63,"Ercina, La"
64,Escobar de Campos
65,Fabero
66,Folgoso de la Ribera
67,Fresno de la Vega
68,Fuentes de Carbajal
69,Garrafe de Torío
70,Gordaliza del Pino
71,Gordoncillo
72,Gradefes
73,Grajal de Campos
74,Gusendos de los Oteros
75,Hospital de Órbigo
76,Igüeña
77,Izagre
78,Joarilla de las Matas
79,Laguna Dalga
80,Laguna de Negrillos
81,León
82,Llamas de la Ribera
83,Lucillo
84,Luyego
85,Magaz de Cepeda
86,Mansilla de las Mulas
87,Mansilla Mayor
88,Maraña
89,Matadeón de los Oteros
90,Matallana de Torío
91,Matanza
92,Molinaseca
93,Murias de Paredes
94,Noceda del Bierzo
95,Oencia
96,"Omañas, Las"
97,Onzonilla
98,Oseja de Sajambre
99,Pajares de los Oteros
100,Palacios de la Valduerna
101,Palacios del Sil
102,Páramo del Sil
103,Peranzanes
104,Pobladura de Pelayo García
105,"Pola de Gordón, La"
106,Ponferrada
107,Posada de Valdeón
108,Pozuelo del Páramo
109,Prado de la Guzpeña
110,Priaranza del Bierzo
111,Prioro
112,Puebla de Lillo
113,Puente de Domingo Flórez
114,Quintana del Castillo
115,Quintana del Marco
116,Quintana y Congosto
117,Regueras de Arriba
118,Reyero
119,Riaño
120,Riego de la Vega
121,Riello
122,Rioseco de Tapia
123,"Robla, La"
124,Roperuelos del Páramo
125,Sabero
126,Sahagún
127,San Adrián del Valle
128,San Andrés del Rabanedo
129,San Cristóbal de la Polantera
130,San Emiliano
131,San Esteban de Nogales
132,San Justo de la Vega
133,San Millán de los Caballeros
134,San Pedro Bercianos
135,Sancedo
136,Santa Colomba de Curueño
137,Santa Colomba de Somoza
138,Santa Cristina de Valmadrigal
139,Santa Elena de Jamuz
140,Santa María de la Isla
141,Santa María de Ordás
142,Santa María del Monte de Cea
143,Santa María del Páramo
144,Santa Marina del Rey
145,Santas Martas
146,Santiago Millas
147,Santovenia de la Valdoncina
148,Sariegos
149,Sena de Luna
150,Sobrado
151,Soto de la Vega
152,Soto y Amío
153,Toral de los Guzmanes
154,Toral de los Vados
155,Toreno
156,Torre del Bierzo
157,Trabadelo
158,Truchas
159,Turcia
160,Urdiales del Páramo
161,Val de San Lorenzo
162,Valdefresno
163,Valdefuentes del Páramo
164,Valdelugueros
165,Valdemora
166,Valdepiélago
167,Valdepolo
168,Valderas
169,Valderrey
170,Valderrueda
171,Valdesamario
172,Valdevimbre
173,Valencia de Don Juan
174,Vallecillo
175,Valverde de la Virgen
176,Valverde-Enrique
177,"Vecilla, La"
178,Vega de Espinareda
179,Vega de Infanzones
180,Vega de Valcarce
181,Vegacervera
182,Vegaquemada
183,Vegas del Condado
184,Villablino
185,Villabraz
186,Villadangos del Páramo
187,Villademor de la Vega
188,Villafranca del Bierzo
189,Villagatón
190,Villamandos
191,Villamanín
192,Villamañán
193,Villamartín de Don Sancho
194,Villamejil
195,Villamol
196,Villamontán de la Valduerna
197,Villamoratiel de las Matas
198,Villanueva de las Manzanas
199,Villaobispo de Otero
200,Villaornate y Castro
201,Villaquejida
202,Villaquilambre
203,Villarejo de Órbigo
204,Villares de Órbigo
205,Villasabariego
206,Villaselán
207,Villaturiel
208,Villazala
209,Villazanzo de Valderaduey
210,Zotes del Páramo
