,NOMBRE
0,Abella de la Conca
1,Àger
2,Agramunt
3,Aitona
4,"Alamús, Els"
5,Alàs i Cerc
6,"Albagés, L'"
7,Albatàrrec
8,Albesa
9,"Albi, L'"
10,Alcanó
11,Alcarràs
12,Alcoletge
13,Alfarràs
14,Alfés
15,Algerri
16,Alguaire
17,Alins
18,Almacelles
19,Almatret
20,Almenar
21,Alòs de Balaguer
22,Alpicat
23,Alt Àneu
24,Anglesola
25,Arbeca
26,Arres
27,Arsèguel
28,Artesa de Lleida
29,Artesa de Segre
30,Aspa
31,"Avellanes i Santa Linya, Les"
32,Baix Pallars
33,Balaguer
34,Barbens
35,"Baronia de Rialb, La"
36,Bassella
37,Bausen
38,Belianes
39,Bellaguarda
40,Bellcaire d'Urgell
41,Bell-lloc d'Urgell
42,Bellmunt d'Urgell
43,Bellpuig
44,Bellver de Cerdanya
45,Bellvís
46,Benavent de Segrià
47,Biosca
48,"Bòrdes, Es"
49,"Borges Blanques, Les"
50,Bossòst
51,Bovera
52,Cabanabona
53,Cabó
54,Camarasa
55,Canejan
56,Castell de Mur
57,Castellar de la Ribera
58,Castelldans
59,Castellnou de Seana
60,Castelló de Farfanya
61,Castellserà
62,Cava
63,Cervera
64,Cervià de les Garrigues
65,Ciutadilla
66,Clariana de Cardener
67,"Cogul, El"
68,Coll de Nargó
69,"Coma i la Pedra, La"
70,Conca de Dalt
71,Corbins
72,Cubells
73,"Espluga Calba, L'"
74,Espot
75,Estamariu
76,Estaràs
77,Esterri d'Àneu
78,Esterri de Cardós
79,Farrera
80,Fígols i Alinyà
81,"Floresta, La"
82,Fondarella
83,Foradada
84,"Fuliola, La"
85,Fulleda
86,Gavet de la Conca
87,Gimenells i el Pla de la Font
88,Golmés
89,Gósol
90,"Granadella, La"
91,"Granja d'Escarp, La"
92,Granyanella
93,Granyena de les Garrigues
94,Granyena de Segarra
95,Guimerà
96,"Guingueta d'Àneu, La"
97,Guissona
98,Guixers
99,Isona i Conca Dellà
100,Ivars de Noguera
101,Ivars d'Urgell
102,Ivorra
103,Josa i Tuixén
104,Juncosa
105,Juneda
106,Les
107,Linyola
108,Lladorre
109,Lladurs
110,Llardecans
111,Llavorsí
112,Lleida
113,Lles de Cerdanya
114,Llimiana
115,Llobera
116,Maials
117,Maldà
118,Massalcoreig
119,Massoteres
120,Menàrguens
121,Miralcamp
122,Mollerussa
123,"Molsosa, La"
124,Montellà i Martinet
125,Montferrer i Castellbò
126,Montgai
127,Montoliu de Lleida
128,Montoliu de Segarra
129,Montornès de Segarra
130,Nalec
131,Naut Aran
132,Navès
133,Odèn
134,Oliana
135,Oliola
136,Olius
137,"Oluges, Les"
138,"Omellons, Els"
139,"Omells de na Gaia, Els"
140,Organyà
141,Os de Balaguer
142,Ossó de Sió
143,"Palau d'Anglesola, El"
144,Penelles
145,Peramola
146,Pinell de Solsonès
147,Pinós
148,"Plans de Sió, Els"
149,"Poal, El"
150,"Pobla de Cérvoles, La"
151,"Pobla de Segur, La"
152,"Pont de Bar, El"
153,"Pont de Suert, El"
154,Ponts
155,"Portella, La"
156,Prats i Sansor
157,Preixana
158,Preixens
159,Prullans
160,Puiggròs
161,Puigverd d'Agramunt
162,Puigverd de Lleida
163,Rialp
164,Ribera d'Ondara
165,Ribera d'Urgellet
166,Riner
167,Riu de Cerdanya
168,Rosselló
169,Salàs de Pallars
170,Sanaüja
171,Sant Esteve de la Sarga
172,Sant Guim de Freixenet
173,Sant Guim de la Plana
174,Sant Llorenç de Morunys
175,Sant Martí de Riucorb
176,Sant Ramon
177,Sarroca de Bellera
178,Sarroca de Lleida
179,Senterada
180,"Sentiu de Sió, La"
181,Seròs
182,"Seu d'Urgell, La"
183,Sidamon
184,"Soleràs, El"
185,Solsona
186,Soriguera
187,Sort
188,Soses
189,Sudanell
190,Sunyer
191,Talarn
192,Talavera
193,Tàrrega
194,Tarrés
195,Tarroja de Segarra
196,Térmens
197,Tírvia
198,Tiurana
199,Torà
200,"Torms, Els"
201,Tornabous
202,"Torre de Cabdella, La"
203,Torrebesses
204,Torrefarrera
205,Torrefeta i Florejacs
206,Torregrossa
207,Torrelameu
208,Torres de Segre
209,Torre-serona
210,Tremp
211,"Vall de Boí, La"
212,Vall de Cardós
213,Vallbona de les Monges
214,Vallfogona de Balaguer
215,"Valls d'Aguilar, Les"
216,"Valls de Valira, Les"
217,"Vansa i Fórnols, La"
218,Verdú
219,Vielha e Mijaran
220,Vilagrassa
221,Vilaller
222,Vilamòs
223,Vilanova de Bellpuig
224,Vilanova de la Barca
225,Vilanova de l'Aguda
226,Vilanova de Meià
227,Vilanova de Segrià
228,Vila-sana
229,"Vilosell, El"
230,Vinaixa
