,NOMBRE
0,Abáigar
1,Abárzuza
2,Abaurregaina/Abaurrea Alta
3,Abaurrepea/Abaurrea Baja
4,Aberin
5,Ablitas
6,Adiós
7,Aguilar de Codés
8,Aibar/Oibar
9,Allín
10,Allo
11,Altsasu/Alsasua
12,Améscoa Baja
13,Ancín/Antzin
14,Andosilla
15,Ansoáin/Antsoain
16,Anue
17,Añorbe
18,Aoiz/Agoitz
19,Araitz
20,Arakil
21,Aranarache/Aranaratxe
22,Aranguren
23,Arano
24,Arantza
25,Aras
26,Arbizu
27,Arce/Artzi
28,"Arcos, Los"
29,Arellano
30,Areso
31,Arguedas
32,Aria
33,Aribe
34,Armañanzas
35,Arróniz
36,Arruazu
37,Artajona
38,Artazu
39,Atez
40,Auritz/Burguete
41,Ayegui/Aiegi
42,Azagra
43,Azuelo
44,Bakaiku
45,Barañain
46,Barásoain
47,Barbarin
48,Bargota
49,Barillas
50,Basaburua
51,Baztan
52,Beintza-Labaien
53,Beire
54,Belascoáin
55,Bera
56,Berbinzana
57,Beriáin
58,Berrioplano
59,Berriozar
60,Bertizarana
61,Betelu
62,Bidaurreta
63,Biurrun-Olcoz
64,Buñuel
65,Burgui/Burgi
66,Burlada/Burlata
67,"Busto, El"
68,Cabanillas
69,Cabredo
70,Cadreita
71,Caparroso
72,Cárcar
73,Carcastillo
74,Cascante
75,Cáseda
76,Castejón
77,Castillonuevo
78,Cendea de Olza/Oltza Zendea
79,Cintruénigo
80,Cirauqui/Zirauki
81,Ciriza
82,Cizur
83,Corella
84,Cortes
85,Desojo
86,Dicastillo
87,Donamaria
88,Doneztebe/Santesteban
89,Echarri
90,Egüés
91,Elgorriaga
92,Enériz/Eneritz
93,Eratsun
94,Ergoiena
95,Erro
96,Eslava
97,Esparza de Salazar/Espartza Zaraitzu
98,Espronceda
99,Estella/Lizarra
100,Esteribar
101,Etayo
102,Etxalar
103,Etxarri-Aranatz
104,Etxauri
105,Eulate
106,Ezcabarte
107,Ezcároz/Ezkaroze
108,Ezkurra
109,Ezprogui
110,Falces
111,Fitero
112,Fontellas
113,Funes
114,Fustiñana
115,Galar
116,Gallipienzo/Galipentzu
117,Gallués/Galoze
118,Garaioa
119,Garde
120,Garínoain
121,Garralda
122,Genevilla
123,Goizueta
124,Goñi
125,Güesa/Gorza
126,Guesálaz/Gesalatz
127,Guirguillano
128,Hiriberri/Villanueva de Aezkoa
129,Huarte/Uharte
130,Ibargoiti
131,Igantzi
132,Igúzquiza
133,Imotz
134,Irañeta
135,Irurtzun
136,Isaba/Izaba
137,Ituren
138,Iturmendi
139,Iza/Itza
140,Izagaondoa
141,Izalzu/Itzaltzu
142,Jaurrieta
143,Javier
144,Juslapeña
145,Lakuntza
146,Lana
147,Lantz
148,Lapoblación
149,Larraga
150,Larraona
151,Larraun
152,Lazagurría
153,Leache
154,Legarda
155,Legaria
156,Leitza
157,Lekunberri
158,Leoz/Leotz
159,Lerga
160,Lerín
161,Lesaka
162,Lezáun
163,Liédena
164,Lizoáin-Arriasgoiti
165,Lodosa
166,Lónguida/Longida
167,Lumbier
168,Luquin
169,Luzaide/Valcarlos
170,Mañeru
171,Marañón
172,Marcilla
173,Mélida
174,Mendavia
175,Mendaza
176,Mendigorría
177,Metauten
178,Milagro
179,Mirafuentes
180,Miranda de Arga
181,Monreal
182,Monteagudo
183,Morentin
184,Mues
185,Murchante
186,Murieta
187,Murillo el Cuende
188,Murillo el Fruto
189,Muruzábal
190,Navascués
191,Nazar
192,Noáin (Valle de Elorz)/Noain (Elortzibar)
193,Obanos
194,Ochagavía/Otsagabia
195,Oco
196,Odieta
197,Oitz
198,Olaibar
199,Olazti/Olazagutía
200,Olejua
201,Olite/Erriberri
202,Ollo
203,Olóriz/Oloritz
204,Orbaitzeta
205,Orbara
206,Orísoain
207,Orkoien
208,Oronz/Orontze
209,Oroz-Betelu/Orotz-Betelu
210,Orreaga/Roncesvalles
211,Oteiza
212,Pamplona/Iruña
213,Peralta/Azkoien
214,Petilla de Aragón
215,Piedramillera
216,Pitillas
217,Puente la Reina/Gares
218,Pueyo
219,Ribaforada
220,Romanzado
221,Roncal/Erronkari
222,Sada
223,Saldías
224,Salinas de Oro/Jaitz
225,San Adrián
226,San Martín de Unx
227,Sangüesa/Zangoza
228,Sansol
229,Santacara
230,Sarriés/Sartze
231,Sartaguda
232,Sesma
233,Sorlada
234,Sunbilla
235,Tafalla
236,Tiebas-Muruarte de Reta
237,Tirapu
238,Torralba del Río
239,Torres del Río
240,Tudela
241,Tulebras
242,Ucar
243,Uharte-Arakil
244,Ujué
245,Ultzama
246,Unciti
247,Unzué
248,Urdazubi/Urdax
249,Urdiain
250,Urraul Alto
251,Urraul Bajo
252,Urrotz
253,Urroz-Villa
254,Urzainqui/Urzainki
255,Uterga
256,Uztárroz/Uztarroze
257,Valle de Yerri/Deierri
258,Valtierra
259,Viana
260,Vidángoz/Bidankoze
261,Villafranca
262,Villamayor de Monjardín
263,Villatuerta
264,Villava/Atarrabia
265,Yesa
266,Zabalza/Zabaltza
267,Ziordia
268,Zizur Mayor/Zizur Nagusia
269,Zubieta
270,Zugarramurdi
271,Zúñiga
