,NOMBRE
0,Adeje
1,Agulo
2,Alajeró
3,Arafo
4,Arico
5,Arona
6,Barlovento
7,Breña Alta
8,Breña Baja
9,Buenavista del Norte
10,Candelaria
11,Fasnia
12,Frontera
13,Fuencaliente de la Palma
14,Garachico
15,Garafía
16,Granadilla de Abona
17,"Guancha, La"
18,Guía de Isora
19,Güímar
20,Hermigua
21,Icod de los Vinos
22,"Llanos de Aridane, Los"
23,"Matanza de Acentejo, La"
24,"Orotava, La"
25,"Paso, El"
26,"Pinar de El Hierro, El"
27,Puerto de la Cruz
28,Puntagorda
29,Puntallana
30,"Realejos, Los"
31,"Rosario, El"
32,San Andrés y Sauces
33,San Cristóbal de La Laguna
34,San Juan de la Rambla
35,San Miguel de Abona
36,San Sebastián de la Gomera
37,Santa Cruz de la Palma
38,Santa Cruz de Tenerife
39,Santa Úrsula
40,Santiago del Teide
41,"Sauzal, El"
42,"Silos, Los"
43,Tacoronte
44,"Tanque, El"
45,Tazacorte
46,Tegueste
47,Tijarafe
48,Valle Gran Rey
49,Vallehermoso
50,Valverde
51,"Victoria de Acentejo, La"
52,Vilaflor
53,Villa de Mazo
