,NOMBRE
0,Aguadulce
1,Alanís
2,Albaida del Aljarafe
3,Alcalá de Guadaíra
4,Alcalá del Río
5,Alcolea del Río
6,"Algaba, La"
7,Algámitas
8,Almadén de la Plata
9,Almensilla
10,Arahal
11,Aznalcázar
12,Aznalcóllar
13,Badolatosa
14,Benacazón
15,Bollullos de la Mitación
16,Bormujos
17,Brenes
18,Burguillos
19,"Cabezas de San Juan, Las"
20,Camas
21,"Campana, La"
22,Cantillana
23,Cañada Rosal
24,Carmona
25,Carrión de los Céspedes
26,Casariche
27,Castilblanco de los Arroyos
28,Castilleja de Guzmán
29,Castilleja de la Cuesta
30,Castilleja del Campo
31,"Castillo de las Guardas, El"
32,Cazalla de la Sierra
33,Constantina
34,Coria del Río
35,Coripe
36,"Coronil, El"
37,"Corrales, Los"
38,"Cuervo de Sevilla, El"
39,Dos Hermanas
40,Écija
41,Espartinas
42,Estepa
43,Fuentes de Andalucía
44,"Garrobo, El"
45,Gelves
46,Gerena
47,Gilena
48,Gines
49,Guadalcanal
50,Guillena
51,Herrera
52,Huévar del Aljarafe
53,Isla Mayor
54,"Lantejuela, La"
55,Lebrija
56,Lora de Estepa
57,Lora del Río
58,"Luisiana, La"
59,"Madroño, El"
60,Mairena del Alcor
61,Mairena del Aljarafe
62,Marchena
63,Marinaleda
64,Martín de la Jara
65,"Molares, Los"
66,Montellano
67,Morón de la Frontera
68,"Navas de la Concepción, Las"
69,Olivares
70,Osuna
71,"Palacios y Villafranca, Los"
72,Palomares del Río
73,Paradas
74,Pedrera
75,"Pedroso, El"
76,Peñaflor
77,Pilas
78,Pruna
79,"Puebla de Cazalla, La"
80,"Puebla de los Infantes, La"
81,"Puebla del Río, La"
82,"Real de la Jara, El"
83,"Rinconada, La"
84,"Roda de Andalucía, La"
85,"Ronquillo, El"
86,"Rubio, El"
87,Salteras
88,San Juan de Aznalfarache
89,San Nicolás del Puerto
90,Sanlúcar la Mayor
91,Santiponce
92,"Saucejo, El"
93,Sevilla
94,Tocina
95,Tomares
96,Umbrete
97,Utrera
98,Valencina de la Concepción
99,Villamanrique de la Condesa
100,Villanueva de San Juan
101,Villanueva del Ariscal
102,Villanueva del Río y Minas
103,Villaverde del Río
104,"Viso del Alcor, El"
