,NOMBRE
0,Ababuj
1,Abejuela
2,Aguatón
3,Aguaviva
4,Aguilar del Alfambra
5,Alacón
6,Alba
7,Albalate del Arzobispo
8,Albarracín
9,Albentosa
10,Alcaine
11,Alcalá de la Selva
12,Alcañiz
13,Alcorisa
14,Alfambra
15,Aliaga
16,Allepuz
17,Alloza
18,Allueva
19,Almohaja
20,Alobras
21,Alpeñés
22,Anadón
23,Andorra
24,Arcos de las Salinas
25,Arens de Lledó
26,Argente
27,Ariño
28,Azaila
29,Bádenas
30,Báguena
31,Bañón
32,Barrachina
33,Bea
34,Beceite
35,Bello
36,Belmonte de San José
37,Berge
38,Bezas
39,Blancas
40,Blesa
41,Bordón
42,Bronchales
43,Bueña
44,Burbáguena
45,Cabra de Mora
46,Calaceite
47,Calamocha
48,Calanda
49,Calomarde
50,Camañas
51,Camarena de la Sierra
52,Camarillas
53,Caminreal
54,Cantavieja
55,Cañada de Benatanduz
56,"Cañada de Verich, La"
57,Cañada Vellida
58,Cañizar del Olivar
59,Cascante del Río
60,Castejón de Tornos
61,Castel de Cabra
62,"Castellar, El"
63,Castellote
64,Castelnou
65,Castelserás
66,Cedrillas
67,Celadas
68,Cella
69,"Cerollera, La"
70,"Codoñera, La"
71,Corbalán
72,Cortes de Aragón
73,Cosa
74,Cretas
75,Crivillén
76,"Cuba, La"
77,Cubla
78,Cucalón
79,"Cuervo, El"
80,Cuevas de Almudén
81,Cuevas Labradas
82,Ejulve
83,Escorihuela
84,Escucha
85,Estercuel
86,Ferreruela de Huerva
87,Fonfría
88,Formiche Alto
89,Fórnoles
90,Fortanete
91,Foz-Calanda
92,"Fresneda, La"
93,Frías de Albarracín
94,Fuenferrada
95,Fuentes Calientes
96,Fuentes Claras
97,Fuentes de Rubielos
98,Fuentespalda
99,Galve
100,Gargallo
101,Gea de Albarracín
102,"Ginebrosa, La"
103,Griegos
104,Guadalaviar
105,Gúdar
106,Híjar
107,Hinojosa de Jarque
108,"Hoz de la Vieja, La"
109,Huesa del Común
110,"Iglesuela del Cid, La"
111,Jabaloyas
112,Jarque de la Val
113,Jatiel
114,Jorcas
115,Josa
116,Lagueruela
117,Lanzuela
118,Libros
119,Lidón
120,Linares de Mora
121,Lledó
122,Loscos
123,Maicas
124,Manzanera
125,Martín del Río
126,Mas de las Matas
127,"Mata de los Olmos, La"
128,Mazaleón
129,Mezquita de Jarque
130,Mirambel
131,Miravete de la Sierra
132,Molinos
133,Monforte de Moyuela
134,Monreal del Campo
135,Monroyo
136,Montalbán
137,Monteagudo del Castillo
138,Monterde de Albarracín
139,Mora de Rubielos
140,Moscardón
141,Mosqueruela
142,Muniesa
143,Noguera de Albarracín
144,Nogueras
145,Nogueruelas
146,Obón
147,Odón
148,Ojos Negros
149,Olba
150,Oliete
151,"Olmos, Los"
152,Orihuela del Tremedal
153,Orrios
154,Palomar de Arroyos
155,Pancrudo
156,"Parras de Castellote, Las"
157,Peñarroya de Tastavins
158,Peracense
159,Peralejos
160,Perales del Alfambra
161,Pitarque
162,Plou
163,"Pobo, El"
164,"Portellada, La"
165,Pozondón
166,Pozuel del Campo
167,"Puebla de Híjar, La"
168,"Puebla de Valverde, La"
169,Puertomingalvo
170,Ráfales
171,Rillo
172,Riodeva
173,Ródenas
174,Royuela
175,Rubiales
176,Rubielos de la Cérida
177,Rubielos de Mora
178,Salcedillo
179,Saldón
180,Samper de Calanda
181,San Agustín
182,San Martín del Río
183,Santa Cruz de Nogueras
184,Santa Eulalia
185,Sarrión
186,Segura de los Baños
187,Seno
188,Singra
189,Terriente
190,Teruel
191,Toril y Masegoso
192,Tormón
193,Tornos
194,Torralba de los Sisones
195,Torre de Arcas
196,Torre de las Arcas
197,Torre del Compte
198,Torre los Negros
199,Torrecilla de Alcañiz
200,Torrecilla del Rebollar
201,Torrelacárcel
202,Torremocha de Jiloca
203,Torres de Albarracín
204,Torrevelilla
205,Torrijas
206,Torrijo del Campo
207,Tramacastiel
208,Tramacastilla
209,Tronchón
210,Urrea de Gaén
211,Utrillas
212,Valacloche
213,Valbona
214,Valdealgorfa
215,Valdecuenca
216,Valdelinares
217,Valdeltormo
218,Valderrobres
219,Valjunquera
220,"Vallecillo, El"
221,Veguillas de la Sierra
222,Villafranca del Campo
223,Villahermosa del Campo
224,Villanueva del Rebollar de la Sierra
225,Villar del Cobo
226,Villar del Salz
227,Villarluengo
228,Villarquemado
229,Villarroya de los Pinares
230,Villastar
231,Villel
232,Vinaceite
233,Visiedo
234,Vivel del Río Martín
235,"Zoma, La"
