,NOMBRE
0,Ajofrín
1,Alameda de la Sagra
2,Albarreal de Tajo
3,Alcabón
4,Alcañizo
5,Alcaudete de la Jara
6,Alcolea de Tajo
7,Aldea en Cabo
8,Aldeanueva de Barbarroya
9,Aldeanueva de San Bartolomé
10,Almendral de la Cañada
11,Almonacid de Toledo
12,Almorox
13,Añover de Tajo
14,Arcicóllar
15,Argés
16,Azután
17,Barcience
18,Bargas
19,Belvís de la Jara
20,Borox
21,Buenaventura
22,Burguillos de Toledo
23,Burujón
24,Cabañas de la Sagra
25,Cabañas de Yepes
26,Cabezamesada
27,Calera y Chozas
28,Caleruela
29,Calzada de Oropesa
30,Camarena
31,Camarenilla
32,"Campillo de la Jara, El"
33,Camuñas
34,Cardiel de los Montes
35,Carmena
36,"Carpio de Tajo, El"
37,Carranque
38,Carriches
39,"Casar de Escalona, El"
40,Casarrubios del Monte
41,Casasbuenas
42,Castillo de Bayuela
43,Cazalegas
44,Cebolla
45,Cedillo del Condado
46,"Cerralbos, Los"
47,Cervera de los Montes
48,Chozas de Canales
49,Chueca
50,Ciruelos
51,Cobeja
52,Cobisa
53,Consuegra
54,Corral de Almaguer
55,Cuerva
56,Domingo Pérez
57,Dosbarrios
58,Erustes
59,Escalona
60,Escalonilla
61,Espinoso del Rey
62,Esquivias
63,"Estrella, La"
64,Fuensalida
65,Gálvez
66,Garciotum
67,Gerindote
68,Guadamur
69,"Guardia, La"
70,"Herencias, Las"
71,Herreruela de Oropesa
72,Hinojosa de San Vicente
73,Hontanar
74,Hormigos
75,Huecas
76,Huerta de Valdecarábanos
77,"Iglesuela, La"
78,Illán de Vacas
79,Illescas
80,Lagartera
81,Layos
82,Lillo
83,Lominchar
84,Lucillos
85,Madridejos
86,Magán
87,Malpica de Tajo
88,Manzaneque
89,Maqueda
90,Marjaliza
91,Marrupe
92,Mascaraque
93,"Mata, La"
94,Mazarambroz
95,Mejorada
96,Menasalbas
97,Méntrida
98,Mesegar de Tajo
99,Miguel Esteban
100,Mocejón
101,Mohedas de la Jara
102,Montearagón
103,Montesclaros
104,Mora
105,Nambroca
106,"Nava de Ricomalillo, La"
107,Navahermosa
108,Navalcán
109,Navalmoralejo
110,"Navalmorales, Los"
111,"Navalucillos, Los"
112,Navamorcuende
113,Noblejas
114,Noez
115,Nombela
116,Novés
117,Numancia de la Sagra
118,Nuño Gómez
119,Ocaña
120,Olías del Rey
121,Ontígola
122,Orgaz
123,Oropesa
124,Otero
125,Palomeque
126,Pantoja
127,Paredes de Escalona
128,Parrillas
129,Pelahustán
130,Pepino
131,Polán
132,Portillo de Toledo
133,"Puebla de Almoradiel, La"
134,"Puebla de Montalbán, La"
135,"Pueblanueva, La"
136,"Puente del Arzobispo, El"
137,Puerto de San Vicente
138,Pulgar
139,Quero
140,Quintanar de la Orden
141,Quismondo
142,"Real de San Vicente, El"
143,Recas
144,Retamoso de la Jara
145,Rielves
146,Robledo del Mazo
147,"Romeral, El"
148,San Bartolomé de las Abiertas
149,San Martín de Montalbán
150,San Martín de Pusa
151,San Pablo de los Montes
152,San Román de los Montes
153,Santa Ana de Pusa
154,Santa Cruz de la Zarza
155,Santa Cruz del Retamar
156,Santa Olalla
157,Santo Domingo-Caudilla
158,Sartajada
159,Segurilla
160,Seseña
161,Sevilleja de la Jara
162,Sonseca
163,Sotillo de las Palomas
164,Talavera de la Reina
165,Tembleque
166,"Toboso, El"
167,Toledo
168,Torralba de Oropesa
169,"Torre de Esteban Hambrán, La"
170,Torrecilla de la Jara
171,Torrico
172,Torrijos
173,Totanés
174,Turleque
175,Ugena
176,Urda
177,Valdeverdeja
178,Valmojado
179,Velada
180,"Ventas con Peña Aguilera, Las"
181,"Ventas de Retamosa, Las"
182,"Ventas de San Julián, Las"
183,"Villa de Don Fadrique, La"
184,Villacañas
185,Villafranca de los Caballeros
186,Villaluenga de la Sagra
187,Villamiel de Toledo
188,Villaminaya
189,Villamuelas
190,Villanueva de Alcardete
191,Villanueva de Bogas
192,Villarejo de Montalbán
193,Villarrubia de Santiago
194,Villaseca de la Sagra
195,Villasequilla
196,Villatobas
197,"Viso de San Juan, El"
198,"Yébenes, Los"
199,Yeles
200,Yepes
201,Yuncler
202,Yunclillos
203,Yuncos
