,NOMBRE
0,Abezames
1,Alcañices
2,Alcubilla de Nogales
3,Alfaraz de Sayago
4,Algodre
5,Almaraz de Duero
6,Almeida de Sayago
7,Andavías
8,Arcenillas
9,Arcos de la Polvorosa
10,Argañín
11,Argujillo
12,Arquillinos
13,Arrabalde
14,Aspariegos
15,Asturianos
16,Ayoó de Vidriales
17,Barcial del Barco
18,Belver de los Montes
19,Benavente
20,Benegiles
21,Bermillo de Sayago
22,"Bóveda de Toro, La"
23,Bretó
24,Bretocino
25,Brime de Sog
26,Brime de Urz
27,Burganes de Valverde
28,Bustillo del Oro
29,Cabañas de Sayago
30,Calzadilla de Tera
31,Camarzana de Tera
32,Cañizal
33,Cañizo
34,Carbajales de Alba
35,Carbellino
36,Casaseca de Campeán
37,Casaseca de las Chanas
38,Castrillo de la Guareña
39,Castrogonzalo
40,Castronuevo
41,Castroverde de Campos
42,Cazurra
43,Cerecinos de Campos
44,Cerecinos del Carrizal
45,Cernadilla
46,Cobreros
47,Coomonte
48,Coreses
49,Corrales del Vino
50,Cotanes del Monte
51,Cubillos
52,Cubo de Benavente
53,"Cubo de Tierra del Vino, El"
54,Cuelgamures
55,Entrala
56,Espadañedo
57,Faramontanos de Tábara
58,Fariza
59,Fermoselle
60,Ferreras de Abajo
61,Ferreras de Arriba
62,Ferreruela
63,Figueruela de Arriba
64,Fonfría
65,Fresno de la Polvorosa
66,Fresno de la Ribera
67,Fresno de Sayago
68,Friera de Valverde
69,Fuente Encalada
70,Fuentelapeña
71,Fuentes de Ropel
72,Fuentesaúco
73,Fuentesecas
74,Fuentespreadas
75,Galende
76,Gallegos del Pan
77,Gallegos del Río
78,Gamones
79,Gema
80,Granja de Moreruela
81,Granucillo
82,Guarrate
83,Hermisende
84,"Hiniesta, La"
85,Jambrina
86,Justel
87,Losacino
88,Losacio
89,Lubián
90,Luelmo
91,"Maderal, El"
92,Madridanos
93,Mahide
94,Maire de Castroponce
95,Malva
96,Manganeses de la Lampreana
97,Manganeses de la Polvorosa
98,Manzanal de Arriba
99,Manzanal de los Infantes
100,Manzanal del Barco
101,Matilla de Arzón
102,Matilla la Seca
103,Mayalde
104,Melgar de Tera
105,Micereces de Tera
106,Milles de la Polvorosa
107,Molacillos
108,Molezuelas de la Carballeda
109,Mombuey
110,Monfarracinos
111,Montamarta
112,Moral de Sayago
113,Moraleja de Sayago
114,Moraleja del Vino
115,Morales de Rey
116,Morales de Toro
117,Morales de Valverde
118,Morales del Vino
119,Moralina
120,Moreruela de los Infanzones
121,Moreruela de Tábara
122,Muelas de los Caballeros
123,Muelas del Pan
124,Muga de Sayago
125,Navianos de Valverde
126,Olmillos de Castro
127,Otero de Bodas
128,Pajares de la Lampreana
129,Palacios de Sanabria
130,Palacios del Pan
131,Pedralba de la Pradería
132,"Pego, El"
133,Peleagonzalo
134,Peleas de Abajo
135,Peñausende
136,Peque
137,"Perdigón, El"
138,Pereruela
139,Perilla de Castro
140,Pías
141,Piedrahita de Castro
142,Pinilla de Toro
143,Pino del Oro
144,"Piñero, El"
145,Pobladura de Valderaduey
146,Pobladura del Valle
147,Porto
148,Pozoantiguo
149,Pozuelo de Tábara
150,Prado
151,Puebla de Sanabria
152,Pueblica de Valverde
153,Quintanilla de Urz
154,Quintanilla del Monte
155,Quintanilla del Olmo
156,Quiruelas de Vidriales
157,Rabanales
158,Rábano de Aliste
159,Requejo
160,Revellinos
161,Riofrío de Aliste
162,Rionegro del Puente
163,Roales
164,Robleda-Cervantes
165,Roelos de Sayago
166,Rosinos de la Requejada
167,Salce
168,Samir de los Caños
169,San Agustín del Pozo
170,San Cebrián de Castro
171,San Cristóbal de Entreviñas
172,San Esteban del Molar
173,San Justo
174,San Martín de Valderaduey
175,San Miguel de la Ribera
176,San Miguel del Valle
177,San Pedro de Ceque
178,San Pedro de la Nave-Almendra
179,San Vicente de la Cabeza
180,San Vitero
181,Santa Clara de Avedillo
182,Santa Colomba de las Monjas
183,Santa Cristina de la Polvorosa
184,Santa Croya de Tera
185,Santa Eufemia del Barco
186,Santa María de la Vega
187,Santa María de Valverde
188,Santibáñez de Tera
189,Santibáñez de Vidriales
190,Santovenia
191,Sanzoles
192,Tábara
193,Tapioles
194,Toro
195,"Torre del Valle, La"
196,Torregamones
197,Torres del Carrizal
198,Trabazos
199,Trefacio
200,Uña de Quintana
201,Vadillo de la Guareña
202,Valcabado
203,Valdefinjas
204,Valdescorriel
205,Vallesa de la Guareña
206,Vega de Tera
207,Vega de Villalobos
208,Vegalatrave
209,Venialbo
210,Vezdemarbán
211,Vidayanes
212,Videmala
213,Villabrázaro
214,Villabuena del Puente
215,Villadepera
216,Villaescusa
217,Villafáfila
218,Villaferrueña
219,Villageriz
220,Villalazán
221,Villalba de la Lampreana
222,Villalcampo
223,Villalobos
224,Villalonso
225,Villalpando
226,Villalube
227,Villamayor de Campos
228,Villamor de los Escuderos
229,Villanázar
230,Villanueva de Azoague
231,Villanueva de Campeán
232,Villanueva de las Peras
233,Villanueva del Campo
234,Villar de Fallaves
235,Villar del Buey
236,Villaralbo
237,Villardeciervos
238,Villardiegua de la Ribera
239,Villárdiga
240,Villardondiego
241,Villarrín de Campos
242,Villaseco del Pan
243,Villavendimio
244,Villaveza de Valverde
245,Villaveza del Agua
246,Viñas
247,Zamora
