,NOMBRE
0,Abades
1,Adrada de Pirón
2,Adrados
3,Aguilafuente
4,Alconada de Maderuelo
5,Aldea Real
6,Aldealcorvo
7,Aldealengua de Pedraza
8,Aldealengua de Santa María
9,Aldeanueva de la Serrezuela
10,Aldeanueva del Codonal
11,Aldeasoña
12,Aldehorno
13,Aldehuela del Codonal
14,Aldeonte
15,Anaya
16,Añe
17,Arahuetes
18,Arcones
19,Arevalillo de Cega
20,Armuña
21,Ayllón
22,Barbolla
23,Basardilla
24,Bercial
25,Bercimuel
26,Bernardos
27,Bernuy de Porreros
28,Boceguillas
29,Brieva
30,Caballar
31,Cabañas de Polendos
32,Cabezuela
33,Calabazas de Fuentidueña
34,Campo de San Pedro
35,Cantalejo
36,Cantimpalos
37,Carbonero el Mayor
38,Carrascal del Río
39,Casla
40,Castillejo de Mesleón
41,Castro de Fuentidueña
42,Castrojimeno
43,Castroserna de Abajo
44,Castroserracín
45,Cedillo de la Torre
46,Cerezo de Abajo
47,Cerezo de Arriba
48,Chañe
49,Cilleruelo de San Mamés
50,Cobos de Fuentidueña
51,Coca
52,Codorniz
53,Collado Hermoso
54,Condado de Castilnovo
55,Corral de Ayllón
56,Cozuelos de Fuentidueña
57,Cubillo
58,Cuéllar
59,Cuevas de Provanco
60,Domingo García
61,Donhierro
62,Duruelo
63,Encinas
64,Encinillas
65,Escalona del Prado
66,Escarabajosa de Cabezas
67,Escobar de Polendos
68,"Espinar, El"
69,Espirdo
70,Fresneda de Cuéllar
71,Fresno de Cantespino
72,Fresno de la Fuente
73,Frumales
74,Fuente de Santa Cruz
75,Fuente el Olmo de Fuentidueña
76,Fuente el Olmo de Íscar
77,Fuentepelayo
78,Fuentepiñel
79,Fuenterrebollo
80,Fuentesaúco de Fuentidueña
81,Fuentesoto
82,Fuentidueña
83,Gallegos
84,Garcillán
85,Gomezserracín
86,Grajera
87,Honrubia de la Cuesta
88,Hontalbilla
89,Hontanares de Eresma
90,"Huertos, Los"
91,Ituero y Lama
92,Juarros de Riomoros
93,Juarros de Voltoya
94,Labajos
95,Laguna de Contreras
96,Languilla
97,Lastras de Cuéllar
98,Lastras del Pozo
99,"Lastrilla, La"
100,"Losa, La"
101,Maderuelo
102,Marazoleja
103,Marazuela
104,Martín Miguel
105,Martín Muñoz de la Dehesa
106,Martín Muñoz de las Posadas
107,Marugán
108,Mata de Cuéllar
109,Matabuena
110,"Matilla, La"
111,Melque de Cercos
112,Membibre de la Hoz
113,Migueláñez
114,Montejo de Arévalo
115,Montejo de la Vega de la Serrezuela
116,Monterrubio
117,Moral de Hornuez
118,Mozoncillo
119,Muñopedro
120,Muñoveros
121,Nava de la Asunción
122,Navafría
123,Navalilla
124,Navalmanzano
125,Navares de Ayuso
126,Navares de Enmedio
127,Navares de las Cuevas
128,Navas de Oro
129,Navas de Riofrío
130,Navas de San Antonio
131,Nieva
132,Olombrada
133,Orejana
134,Ortigosa de Pestaño
135,Ortigosa del Monte
136,Otero de Herreros
137,Pajarejos
138,Palazuelos de Eresma
139,Pedraza
140,Pelayos del Arroyo
141,Perosillo
142,Pinarejos
143,Pinarnegrillo
144,Pradales
145,Prádena
146,Puebla de Pedraza
147,Rapariegos
148,Real Sitio de San Ildefonso
149,Rebollo
150,Remondo
151,Riaguas de San Bartolomé
152,Riaza
153,Ribota
154,Riofrío de Riaza
155,Roda de Eresma
156,Sacramenia
157,Samboal
158,San Cristóbal de Cuéllar
159,San Cristóbal de la Vega
160,San Cristóbal de Segovia
161,San Martín y Mudrián
162,San Miguel de Bernuy
163,San Pedro de Gaíllos
164,Sanchonuño
165,Sangarcía
166,Santa María la Real de Nieva
167,Santa Marta del Cerro
168,Santiuste de Pedraza
169,Santiuste de San Juan Bautista
170,Santo Domingo de Pirón
171,Santo Tomé del Puerto
172,Sauquillo de Cabezas
173,Sebúlcor
174,Segovia
175,Sepúlveda
176,Sequera de Fresno
177,Sotillo
178,Sotosalbos
179,Tabanera la Luenga
180,Tolocirio
181,Torre Val de San Pedro
182,Torreadrada
183,Torrecaballeros
184,Torrecilla del Pinar
185,Torreiglesias
186,Trescasas
187,Turégano
188,Urueñas
189,Valdeprados
190,Valdevacas de Montejo
191,Valdevacas y Guijar
192,Valle de Tabladillo
193,Vallelado
194,Valleruela de Pedraza
195,Valleruela de Sepúlveda
196,Valseca
197,Valtiendas
198,Valverde del Majano
199,Veganzones
200,Vegas de Matute
201,Ventosilla y Tejadilla
202,Villacastín
203,Villaverde de Íscar
204,Villaverde de Montejo
205,Villeguillo
206,Yanguas de Eresma
207,Zarzuela del Monte
208,Zarzuela del Pinar
