,NOMBRE
0,Abejar
1,Adradas
2,Ágreda
3,Alconaba
4,Alcubilla de Avellaneda
5,Alcubilla de las Peñas
6,Aldealafuente
7,Aldealices
8,Aldealpozo
9,Aldealseñor
10,Aldehuela de Periáñez
11,"Aldehuelas, Las"
12,Alentisque
13,Aliud
14,Almajano
15,Almaluez
16,Almarza
17,Almazán
18,Almazul
19,Almenar de Soria
20,Alpanseque
21,Arancón
22,Arcos de Jalón
23,Arenillas
24,Arévalo de la Sierra
25,Ausejo de la Sierra
26,Baraona
27,Barca
28,Barcones
29,Bayubas de Abajo
30,Bayubas de Arriba
31,Beratón
32,Berlanga de Duero
33,Blacos
34,Bliecos
35,Borjabad
36,Borobia
37,Buberos
38,Buitrago
39,Burgo de Osma-Ciudad de Osma
40,Cabrejas del Campo
41,Cabrejas del Pinar
42,Calatañazor
43,Caltojar
44,Candilichera
45,Cañamaque
46,Carabantes
47,Caracena
48,Carrascosa de Abajo
49,Carrascosa de la Sierra
50,Casarejos
51,Castilfrío de la Sierra
52,Castillejo de Robledo
53,Castilruiz
54,Centenera de Andaluz
55,Cerbón
56,Cidones
57,Cigudosa
58,Cihuela
59,Ciria
60,Cirujales del Río
61,Coscurita
62,Covaleda
63,Cubilla
64,Cubo de la Solana
65,Cueva de Ágreda
66,Dévanos
67,Deza
68,Duruelo de la Sierra
69,Escobosa de Almazán
70,Espeja de San Marcelino
71,Espejón
72,Estepa de San Juan
73,Frechilla de Almazán
74,Fresno de Caracena
75,Fuentearmegil
76,Fuentecambrón
77,Fuentecantos
78,Fuentelmonge
79,Fuentelsaz de Soria
80,Fuentepinilla
81,Fuentes de Magaña
82,Fuentestrún
83,Garray
84,Golmayo
85,Gómara
86,Gormaz
87,Herrera de Soria
88,Hinojosa del Campo
89,Langa de Duero
90,Liceras
91,"Losilla, La"
92,Magaña
93,Maján
94,Matalebreras
95,Matamala de Almazán
96,Medinaceli
97,Miño de Medinaceli
98,Miño de San Esteban
99,Molinos de Duero
100,Momblona
101,Monteagudo de las Vicarías
102,Montejo de Tiermes
103,Montenegro de Cameros
104,Morón de Almazán
105,Muriel de la Fuente
106,Muriel Viejo
107,Nafría de Ucero
108,Narros
109,Navaleno
110,Nepas
111,Nolay
112,Noviercas
113,Ólvega
114,Oncala
115,Pinilla del Campo
116,Portillo de Soria
117,"Póveda de Soria, La"
118,Pozalmuro
119,Quintana Redonda
120,Quintanas de Gormaz
121,Quiñonería
122,"Rábanos, Los"
123,Rebollar
124,Recuerda
125,Rello
126,Renieblas
127,Retortillo de Soria
128,Reznos
129,"Riba de Escalote, La"
130,Rioseco de Soria
131,Rollamienta
132,"Royo, El"
133,Salduero
134,San Esteban de Gormaz
135,San Felices
136,San Leonardo de Yagüe
137,San Pedro Manrique
138,Santa Cruz de Yanguas
139,Santa María de Huerta
140,Santa María de las Hoyas
141,Serón de Nágima
142,Soliedra
143,Soria
144,Sotillo del Rincón
145,Suellacabras
146,Tajahuerce
147,Tajueco
148,Talveila
149,Tardelcuende
150,Taroda
151,Tejado
152,Torlengua
153,Torreblacos
154,Torrubia de Soria
155,Trévago
156,Ucero
157,Vadillo
158,Valdeavellano de Tera
159,Valdegeña
160,Valdelagua del Cerro
161,Valdemaluque
162,Valdenebro
163,Valdeprado
164,Valderrodilla
165,Valtajeros
166,Velamazán
167,Velilla de la Sierra
168,Velilla de los Ajos
169,Viana de Duero
170,Villaciervos
171,Villanueva de Gormaz
172,Villar del Ala
173,Villar del Campo
174,Villar del Río
175,"Villares de Soria, Los"
176,Villasayas
177,Villaseca de Arciel
178,Vinuesa
179,Vizmanos
180,Vozmediano
181,Yanguas
182,Yelo
