,NOMBRE
0,Aiguamúrcia
1,Albinyana
2,"Albiol, L'"
3,Alcanar
4,Alcover
5,"Aldea, L'"
6,Aldover
7,"Aleixar, L'"
8,Alfara de Carles
9,Alforja
10,Alió
11,Almoster
12,Altafulla
13,"Ametlla de Mar, L'"
14,"Ampolla, L'"
15,Amposta
16,"Arboç, L'"
17,Arbolí
18,"Argentera, L'"
19,Arnes
20,Ascó
21,Banyeres del Penedès
22,Barberà de la Conca
23,Batea
24,Bellmunt del Priorat
25,Bellvei
26,Benifallet
27,Benissanet
28,"Bisbal de Falset, La"
29,"Bisbal del Penedès, La"
30,Blancafort
31,Bonastre
32,"Borges del Camp, Les"
33,Bot
34,Botarell
35,Bràfim
36,Cabacés
37,Cabra del Camp
38,Calafell
39,Camarles
40,Cambrils
41,"Canonja, La"
42,Capafonts
43,Capçanes
44,Caseres
45,Castellvell del Camp
46,"Catllar, El"
47,Colldejou
48,Conesa
49,Constantí
50,Corbera d'Ebre
51,Cornudella de Montsant
52,Creixell
53,Cunit
54,Deltebre
55,Duesaigües
56,"Espluga de Francolí, L'"
57,Falset
58,"Fatarella, La"
59,"Febró, La"
60,"Figuera, La"
61,Figuerola del Camp
62,Flix
63,Forès
64,Freginals
65,"Galera, La"
66,Gandesa
67,Garcia
68,"Garidells, Els"
69,Ginestar
70,Godall
71,Gratallops
72,"Guiamets, Els"
73,Horta de Sant Joan
74,"Lloar, El"
75,Llorac
76,Llorenç del Penedès
77,Marçà
78,Margalef
79,Mas de Barberans
80,Masdenverge
81,Masllorenç
82,"Masó, La"
83,Maspujols
84,"Masroig, El"
85,"Milà, El"
86,Miravet
87,"Molar, El"
88,Montblanc
89,Montbrió del Camp
90,Montferri
91,"Montmell, El"
92,Mont-ral
93,Mont-roig del Camp
94,Móra d'Ebre
95,Móra la Nova
96,"Morell, El"
97,"Morera de Montsant, La"
98,"Nou de Gaià, La"
99,Nulles
100,"Pallaresos, Els"
101,"Palma d'Ebre, La"
102,Passanant i Belltall
103,Paüls
104,Perafort
105,"Perelló, El"
106,"Piles, Les"
107,"Pinell de Brai, El"
108,Pira
109,"Pla de Santa Maria, El"
110,"Pobla de Mafumet, La"
111,"Pobla de Massaluca, La"
112,"Pobla de Montornès, La"
113,Poboleda
114,"Pont d'Armentera, El"
115,Pontils
116,Porrera
117,Pradell de la Teixeta
118,Prades
119,Prat de Comte
120,Pratdip
121,Puigpelat
122,Querol
123,Rasquera
124,Renau
125,Reus
126,"Riba, La"
127,Riba-roja d'Ebre
128,"Riera de Gaià, La"
129,Riudecanyes
130,Riudecols
131,Riudoms
132,Rocafort de Queralt
133,Roda de Barà
134,Rodonyà
135,Roquetes
136,"Rourell, El"
137,Salomó
138,Salou
139,Sant Carles de la Ràpita
140,Sant Jaume dels Domenys
141,Sant Jaume d'Enveja
142,Santa Bàrbara
143,Santa Coloma de Queralt
144,Santa Oliva
145,Sarral
146,Savallà del Comtat
147,"Secuita, La"
148,"Selva del Camp, La"
149,Senan
150,"Sénia, La"
151,Solivella
152,Tarragona
153,Tivenys
154,Tivissa
155,"Torre de Fontaubella, La"
156,"Torre de l'Espanyol, La"
157,Torredembarra
158,Torroja del Priorat
159,Tortosa
160,Ulldecona
161,Ulldemolins
162,Vallclara
163,Vallfogona de Riucorb
164,Vallmoll
165,Valls
166,Vandellòs i l'Hospitalet de l'Infant
167,"Vendrell, El"
168,Vespella de Gaià
169,Vilabella
170,Vilalba dels Arcs
171,Vilallonga del Camp
172,Vilanova de Prades
173,Vilanova d'Escornalbou
174,Vilaplana
175,Vila-rodona
176,Vila-seca
177,Vilaverd
178,"Vilella Alta, La"
179,"Vilella Baixa, La"
180,Vimbodí i Poblet
181,Vinebre
182,Vinyols i els Arcs
183,Xerta
