,NOMBRE
0,Ademuz
1,Ador
2,Agullent
3,Aielo de Malferit
4,Aielo de Rugat
5,Alaquàs
6,Albaida
7,Albal
8,Albalat de la Ribera
9,Albalat dels Sorells
10,Albalat dels Tarongers
11,Alberic
12,Alborache
13,Alboraya
14,Albuixech
15,Alcàntera de Xúquer
16,Alcàsser
17,Alcublas
18,"Alcúdia, l'"
19,"Alcúdia de Crespins, l'"
20,Aldaia
21,Alfafar
22,Alfara de la Baronia
23,Alfara del Patriarca
24,Alfarp
25,Alfarrasí
26,Alfauir
27,Algar de Palancia
28,Algemesí
29,Algimia de Alfara
30,Alginet
31,Almàssera
32,Almiserà
33,Almoines
34,Almussafes
35,Alpuente
36,"Alqueria de la Comtessa, l'"
37,Alzira
38,Andilla
39,Anna
40,Antella
41,Aras de los Olmos
42,Atzeneta d'Albaida
43,Ayora
44,Barx
45,Barxeta
46,Bèlgida
47,Bellreguard
48,Bellús
49,Benagéber
50,Benaguasil
51,Benavites
52,Beneixida
53,Benetússer
54,Beniarjó
55,Beniatjar
56,Benicolet
57,Benicull de Xúquer
58,Benifaió
59,Benifairó de la Valldigna
60,Benifairó de les Valls
61,Beniflá
62,Benigánim
63,Benimodo
64,Benimuslem
65,Beniparrell
66,Benirredrà
67,Benisanó
68,Benissoda
69,Benisuera
70,Bétera
71,Bicorp
72,Bocairent
73,Bolbaite
74,Bonrepòs i Mirambell
75,Bufali
76,Bugarra
77,Buñol
78,Burjassot
79,Calles
80,Camporrobles
81,Canals
82,Canet d'En Berenguer
83,Carcaixent
84,Càrcer
85,Carlet
86,Carrícola
87,Casas Altas
88,Casas Bajas
89,Casinos
90,Castelló de Rugat
91,Castellonet de la Conquesta
92,Castielfabib
93,Catadau
94,Catarroja
95,Caudete de las Fuentes
96,Cerdà
97,Chella
98,Chelva
99,Chera
100,Cheste
101,Chiva
102,Chulilla
103,Cofrentes
104,Corbera
105,Cortes de Pallás
106,Cotes
107,Cullera
108,Daimús
109,Domeño
110,Dos Aguas
111,"Eliana, l'"
112,Emperador
113,Enguera
114,"Ènova, l'"
115,Estivella
116,Estubeny
117,Faura
118,Favara
119,Foios
120,"Font de la Figuera, la"
121,"Font d'En Carròs, la"
122,Fontanars dels Alforins
123,Fortaleny
124,Fuenterrobles
125,Gandia
126,Gátova
127,Gavarda
128,Genovés
129,Gestalgar
130,Gilet
131,Godella
132,Godelleta
133,"Granja de la Costera, la"
134,Guadasequies
135,Guadassuar
136,Guardamar de la Safor
137,Higueruelas
138,Jalance
139,Jarafuel
140,Llanera de Ranes
141,Llaurí
142,Llíria
143,Llocnou de la Corona
144,Llocnou de Sant Jeroni
145,Llocnou d'En Fenollet
146,Llombai
147,"Llosa de Ranes, la"
148,Llutxent
149,Loriguilla
150,Losa del Obispo
151,Macastre
152,Manises
153,Manuel
154,Marines
155,Massalavés
156,Massalfassar
157,Massamagrell
158,Massanassa
159,Meliana
160,Millares
161,Miramar
162,Mislata
163,Mogente/Moixent
164,Moncada
165,Montaverner
166,Montesa
167,Montitxelvo/Montichelvo
168,Montroy
169,Montserrat
170,Museros
171,Náquera
172,Navarrés
173,Novelé/Novetlè
174,Oliva
175,"Olleria, l'"
176,Olocau
177,Ontinyent
178,Otos
179,Paiporta
180,Palma de Gandía
181,Palmera
182,"Palomar, el"
183,Paterna
184,Pedralba
185,Petrés
186,Picanya
187,Picassent
188,Piles
189,Pinet
190,"Pobla de Farnals, la"
191,"Pobla de Vallbona, la"
192,"Pobla del Duc, la"
193,"Pobla Llarga, la"
194,Polinyà de Xúquer
195,Potríes
196,Puçol
197,Puebla de San Miguel
198,Puig
199,Quart de les Valls
200,Quart de Poblet
201,Quartell
202,Quatretonda
203,Quesa
204,Rafelbuñol/Rafelbunyol
205,Rafelcofer
206,Rafelguaraf
207,Ráfol de Salem
208,Real
209,Real de Gandía
210,Requena
211,Riba-roja de Túria
212,Riola
213,Rocafort
214,Rotglà i Corberà
215,Rótova
216,Rugat
217,Sagunto/Sagunt
218,Salem
219,San Antonio de Benagéber
220,Sant Joanet
221,Sedaví
222,Segart
223,Sellent
224,Sempere
225,Senyera
226,Serra
227,Siete Aguas
228,Silla
229,Simat de la Valldigna
230,Sinarcas
231,Sollana
232,Sot de Chera
233,Sueca
234,Sumacàrcer
235,Tavernes Blanques
236,Tavernes de la Valldigna
237,Teresa de Cofrentes
238,Terrateig
239,Titaguas
240,Torrebaja
241,Torrella
242,Torrent
243,Torres Torres
244,Tous
245,Tuéjar
246,Turís
247,Utiel
248,Valencia
249,Vallada
250,Vallanca
251,Vallés
252,Venta del Moro
253,Vilamarxant
254,Villalonga
255,Villanueva de Castellón
256,Villar del Arzobispo
257,Villargordo del Cabriel
258,Vinalesa
259,Xàtiva
260,Xeraco
261,Xeresa
262,Xirivella
263,Yátova
264,"Yesa, La"
265,Zarra
