,NOMBRE
0,Adalia
1,Aguasal
2,Aguilar de Campos
3,Alaejos
4,Alcazarén
5,Aldea de San Miguel
6,Aldeamayor de San Martín
7,Almenara de Adaja
8,Amusquillo
9,Arroyo de la Encomienda
10,Ataquines
11,Bahabón
12,Barcial de la Loma
13,Barruelo del Valle
14,Becilla de Valderaduey
15,Benafarces
16,Bercero
17,Berceruelo
18,Berrueces
19,Bobadilla del Campo
20,Bocigas
21,Bocos de Duero
22,Boecillo
23,Bolaños de Campos
24,Brahojos de Medina
25,Bustillo de Chaves
26,Cabezón de Pisuerga
27,Cabezón de Valderaduey
28,Cabreros del Monte
29,Campaspero
30,"Campillo, El"
31,Camporredondo
32,Canalejas de Peñafiel
33,Canillas de Esgueva
34,Carpio
35,Casasola de Arión
36,Castrejón de Trabancos
37,Castrillo de Duero
38,Castrillo-Tejeriego
39,Castrobol
40,Castrodeza
41,Castromembibre
42,Castromonte
43,Castronuevo de Esgueva
44,Castronuño
45,Castroponce
46,Castroverde de Cerrato
47,Ceinos de Campos
48,Cervillego de la Cruz
49,Cigales
50,Ciguñuela
51,Cistérniga
52,Cogeces de Íscar
53,Cogeces del Monte
54,Corcos
55,Corrales de Duero
56,Cubillas de Santa Marta
57,Cuenca de Campos
58,Curiel de Duero
59,Encinas de Esgueva
60,Esguevillas de Esgueva
61,Fombellida
62,Fompedraza
63,Fontihoyuelo
64,Fresno el Viejo
65,Fuensaldaña
66,Fuente el Sol
67,Fuente-Olmedo
68,Gallegos de Hornija
69,Gatón de Campos
70,Geria
71,Herrín de Campos
72,Hornillos de Eresma
73,Íscar
74,Laguna de Duero
75,Langayo
76,Llano de Olmedo
77,Lomoviejo
78,Manzanillo
79,Marzales
80,Matapozuelos
81,Matilla de los Caños
82,Mayorga
83,Medina de Rioseco
84,Medina del Campo
85,Megeces
86,Melgar de Abajo
87,Melgar de Arriba
88,Mojados
89,Monasterio de Vega
90,Montealegre de Campos
91,Montemayor de Pililla
92,Moral de la Reina
93,Moraleja de las Panaderas
94,Morales de Campos
95,Mota del Marqués
96,Mucientes
97,"Mudarra, La"
98,Muriel
99,Nava del Rey
100,Nueva Villa de las Torres
101,Olivares de Duero
102,Olmedo
103,Olmos de Esgueva
104,Olmos de Peñafiel
105,Palazuelo de Vedija
106,"Parrilla, La"
107,"Pedraja de Portillo, La"
108,Pedrajas de San Esteban
109,Pedrosa del Rey
110,Peñafiel
111,Peñaflor de Hornija
112,Pesquera de Duero
113,Piña de Esgueva
114,Piñel de Abajo
115,Piñel de Arriba
116,Pollos
117,Portillo
118,Pozal de Gallinas
119,Pozaldez
120,Pozuelo de la Orden
121,Puras
122,Quintanilla de Arriba
123,Quintanilla de Onésimo
124,Quintanilla de Trigueros
125,Quintanilla del Molar
126,Rábano
127,Ramiro
128,Renedo de Esgueva
129,Roales de Campos
130,Robladillo
131,Roturas
132,Rubí de Bracamonte
133,Rueda
134,Saelices de Mayorga
135,Salvador de Zapardiel
136,San Cebrián de Mazote
137,San Llorente
138,San Martín de Valvení
139,San Miguel del Arroyo
140,San Miguel del Pino
141,San Pablo de la Moraleja
142,San Pedro de Latarce
143,San Pelayo
144,San Román de Hornija
145,San Salvador
146,San Vicente del Palacio
147,Santa Eufemia del Arroyo
148,Santervás de Campos
149,Santibáñez de Valcorba
150,Santovenia de Pisuerga
151,Sardón de Duero
152,"Seca, La"
153,Serrada
154,Siete Iglesias de Trabancos
155,Simancas
156,Tamariz de Campos
157,Tiedra
158,Tordehumos
159,Tordesillas
160,Torre de Esgueva
161,Torre de Peñafiel
162,Torrecilla de la Abadesa
163,Torrecilla de la Orden
164,Torrecilla de la Torre
165,Torrelobatón
166,Torrescárcela
167,Traspinedo
168,Trigueros del Valle
169,Tudela de Duero
170,"Unión de Campos, La"
171,Urones de Castroponce
172,Urueña
173,Valbuena de Duero
174,Valdearcos de la Vega
175,Valdenebro de los Valles
176,Valdestillas
177,Valdunquillo
178,Valladolid
179,Valoria la Buena
180,Valverde de Campos
181,Vega de Ruiponce
182,Vega de Valdetronco
183,Velascálvaro
184,Velilla
185,Velliza
186,Ventosa de la Cuesta
187,Viana de Cega
188,Villabáñez
189,Villabaruz de Campos
190,Villabrágima
191,Villacarralón
192,Villacid de Campos
193,Villaco
194,Villafrades de Campos
195,Villafranca de Duero
196,Villafrechós
197,Villafuerte
198,Villagarcía de Campos
199,Villagómez la Nueva
200,Villalán de Campos
201,Villalar de los Comuneros
202,Villalba de la Loma
203,Villalba de los Alcores
204,Villalbarba
205,Villalón de Campos
206,Villamuriel de Campos
207,Villán de Tordesillas
208,Villanubla
209,Villanueva de Duero
210,Villanueva de la Condesa
211,Villanueva de los Caballeros
212,Villanueva de los Infantes
213,Villanueva de San Mancio
214,Villardefrades
215,Villarmentero de Esgueva
216,Villasexmir
217,Villavaquerín
218,Villavellid
219,Villaverde de Medina
220,Villavicencio de los Caballeros
221,Viloria
222,Wamba
223,Zaratán
224,"Zarza, La"
