,NOMBRE
0,Abadiño
1,Abanto y Ciérvana-Abanto Zierbena
2,Ajangiz
3,Alonsotegi
4,Amorebieta-Etxano
5,Amoroto
6,Arakaldo
7,Arantzazu
8,Areatza
9,Arrankudiaga
10,Arratzu
11,Arrieta
12,Arrigorriaga
13,Artea
14,Artzentales
15,Atxondo
16,Aulesti
17,Bakio
18,Balmaseda
19,Barakaldo
20,Barrika
21,Basauri
22,Bedia
23,Berango
24,Bermeo
25,Berriatua
26,Berriz
27,Bilbao
28,Busturia
29,Derio
30,Dima
31,Durango
32,Ea
33,Elantxobe
34,Elorrio
35,Erandio
36,Ereño
37,Ermua
38,Errigoiti
39,Etxebarri
40,Etxebarria
41,Forua
42,Fruiz
43,Galdakao
44,Galdames
45,Gamiz-Fika
46,Garai
47,Gatika
48,Gautegiz Arteaga
49,Gernika-Lumo
50,Getxo
51,Gizaburuaga
52,Gordexola
53,Gorliz
54,Güeñes
55,Ibarrangelu
56,Igorre
57,Ispaster
58,Iurreta
59,Izurtza
60,Karrantza Harana/Valle de Carranza
61,Kortezubi
62,Lanestosa
63,Larrabetzu
64,Laukiz
65,Leioa
66,Lekeitio
67,Lemoa
68,Lemoiz
69,Lezama
70,Loiu
71,Mallabia
72,Mañaria
73,Markina-Xemein
74,Maruri-Jatabe
75,Mendata
76,Mendexa
77,Meñaka
78,Morga
79,Mundaka
80,Mungia
81,Munitibar-Arbatzegi Gerrikaitz
82,Murueta
83,Muskiz
84,Muxika
85,Nabarniz
86,Ondarroa
87,Orozko
88,Ortuella
89,Otxandio
90,Plentzia
91,Portugalete
92,Santurtzi
93,Sestao
94,Sondika
95,Sopelana
96,Sopuerta
97,Sukarrieta
98,Trucios-Turtzioz
99,Ubide
100,Ugao-Miraballes
101,Urduliz
102,Urduña/Orduña
103,Valle de Trápaga-Trapagaran
104,Zaldibar
105,Zalla
106,Zamudio
107,Zaratamo
108,Zeanuri
109,Zeberio
110,Zierbena
111,Ziortza-Bolibar
