,NOMBRE
0,Abanto
1,Acered
2,Agón
3,Aguarón
4,Aguilón
5,Ainzón
6,Aladrén
7,Alagón
8,Alarba
9,Alberite de San Juan
10,Albeta
11,Alborge
12,Alcalá de Ebro
13,Alcalá de Moncayo
14,Alconchel de Ariza
15,Aldehuela de Liestos
16,Alfajarín
17,Alfamén
18,Alforque
19,Alhama de Aragón
20,Almochuel
21,"Almolda, La"
22,Almonacid de la Cuba
23,Almonacid de la Sierra
24,"Almunia de Doña Godina, La"
25,Alpartir
26,Ambel
27,Anento
28,Aniñón
29,Añón de Moncayo
30,Aranda de Moncayo
31,Arándiga
32,Ardisa
33,Ariza
34,Artieda
35,Asín
36,Atea
37,Ateca
38,Azuara
39,Badules
40,Bagüés
41,Balconchán
42,Bárboles
43,Bardallur
44,Belchite
45,Belmonte de Gracián
46,Berdejo
47,Berrueco
48,Biel
49,Bijuesca
50,Biota
51,Bisimbre
52,Boquiñeni
53,Bordalba
54,Borja
55,Botorrita
56,Brea de Aragón
57,Bubierca
58,Bujaraloz
59,Bulbuente
60,Bureta
61,"Burgo de Ebro, El"
62,"Buste, El"
63,Cabañas de Ebro
64,Cabolafuente
65,Cadrete
66,Calatayud
67,Calatorao
68,Calcena
69,Calmarza
70,Campillo de Aragón
71,Carenas
72,Cariñena
73,Caspe
74,Castejón de Alarba
75,Castejón de las Armas
76,Castejón de Valdejasa
77,Castiliscar
78,Cervera de la Cañada
79,Cerveruela
80,Cetina
81,Chiprana
82,Chodes
83,Cimballa
84,Cinco Olivas
85,Clarés de Ribota
86,Codo
87,Codos
88,Contamina
89,Cosuenda
90,Cuarte de Huerva
91,Cubel
92,"Cuerlas, Las"
93,Daroca
94,Ejea de los Caballeros
95,Embid de Ariza
96,Encinacorba
97,Épila
98,Erla
99,Escatrón
100,Fabara
101,Farlete
102,Fayón
103,"Fayos, Los"
104,Figueruelas
105,Fombuena
106,"Frago, El"
107,"Frasno, El"
108,Fréscano
109,Fuendejalón
110,Fuendetodos
111,Fuentes de Ebro
112,Fuentes de Jiloca
113,Gallocanta
114,Gallur
115,Gelsa
116,Godojos
117,Gotor
118,Grisel
119,Grisén
120,Herrera de los Navarros
121,Ibdes
122,Illueca
123,Isuerre
124,Jaraba
125,Jarque
126,Jaulín
127,"Joyosa, La"
128,Lagata
129,Langa del Castillo
130,Layana
131,Lécera
132,Lechón
133,Leciñena
134,Letux
135,Litago
136,Lituénigo
137,Lobera de Onsella
138,Longares
139,Longás
140,Lucena de Jalón
141,Luceni
142,Luesia
143,Luesma
144,Lumpiaque
145,Luna
146,Maella
147,Magallón
148,Mainar
149,Malanquilla
150,Maleján
151,Mallén
152,Malón
153,Maluenda
154,Manchones
155,Mara
156,María de Huerva
157,Marracos
158,Mediana de Aragón
159,Mequinenza
160,Mesones de Isuela
161,Mezalocha
162,Mianos
163,Miedes de Aragón
164,Monegrillo
165,Moneva
166,Monreal de Ariza
167,Monterde
168,Montón
169,Morata de Jalón
170,Morata de Jiloca
171,Morés
172,Moros
173,Moyuela
174,Mozota
175,Muel
176,"Muela, La"
177,Munébrega
178,Murero
179,Murillo de Gállego
180,Navardún
181,Nigüella
182,Nombrevilla
183,Nonaspe
184,Novallas
185,Novillas
186,Nuévalos
187,Nuez de Ebro
188,Olvés
189,Orcajo
190,Orera
191,Orés
192,Oseja
193,Osera de Ebro
194,Paniza
195,Paracuellos de Jiloca
196,Paracuellos de la Ribera
197,Pastriz
198,Pedrola
199,"Pedrosas, Las"
200,Perdiguera
201,Piedratajada
202,Pina de Ebro
203,Pinseque
204,"Pintanos, Los"
205,Plasencia de Jalón
206,Pleitas
207,Plenas
208,Pomer
209,Pozuel de Ariza
210,Pozuelo de Aragón
211,Pradilla de Ebro
212,Puebla de Albortón
213,"Puebla de Alfindén, La"
214,Puendeluna
215,Purujosa
216,Quinto
217,Remolinos
218,Retascón
219,Ricla
220,Romanos
221,Rueda de Jalón
222,Ruesca
223,Sabiñán
224,Sádaba
225,Salillas de Jalón
226,Salvatierra de Esca
227,Samper del Salz
228,San Martín de la Virgen de Moncayo
229,San Mateo de Gállego
230,Santa Cruz de Grío
231,Santa Cruz de Moncayo
232,Santa Eulalia de Gállego
233,Santed
234,Sástago
235,Sediles
236,Sestrica
237,Sierra de Luna
238,Sigüés
239,Sisamón
240,Sobradiel
241,Sos del Rey Católico
242,Tabuenca
243,Talamantes
244,Tarazona
245,Tauste
246,Terrer
247,Tierga
248,Tobed
249,Torralba de los Frailes
250,Torralba de Ribota
251,Torralbilla
252,Torrehermosa
253,Torrelapaja
254,Torrellas
255,Torres de Berrellén
256,Torrijo de la Cañada
257,Tosos
258,Trasmoz
259,Trasobares
260,Uncastillo
261,Undués de Lerda
262,Urrea de Jalón
263,Urriés
264,Used
265,Utebo
266,Val de San Martín
267,Valdehorna
268,Valmadrid
269,Valpalmas
270,Valtorres
271,Velilla de Ebro
272,Velilla de Jiloca
273,Vera de Moncayo
274,Vierlas
275,Villadoz
276,Villafeliche
277,Villafranca de Ebro
278,Villalba de Perejil
279,Villalengua
280,Villamayor de Gállego
281,Villanueva de Gállego
282,Villanueva de Huerva
283,Villanueva de Jiloca
284,Villar de los Navarros
285,Villarreal de Huerva
286,Villarroya de la Sierra
287,Villarroya del Campo
288,"Vilueña, La"
289,Vistabella
290,"Zaida, La"
291,Zaragoza
292,Zuera
